#{"t_start": 1638277613.2887197, "env_id": null}
r,l,t
0,15,0.399812
0,15,0.770355
0,15,1.140256
0,15,1.512672
0,15,1.884071
0,15,2.254888
0,15,2.626895
0,15,2.997782
0,15,3.370115
0,15,3.744048
0,15,4.110142
0,15,4.480663
0,15,4.861819
0,15,5.234793
0,15,5.605944
0,15,5.974068
0,15,6.34748
0,15,6.734837
0,15,7.206854
0,15,7.679662
0,15,8.154941
0,15,8.628552
0,15,9.095949
0,15,9.467663
0,15,9.839942
0,15,10.214273
0,15,10.650909
0,15,11.089385
0,15,11.490098
0,15,11.932152
0,15,12.347379
0,15,12.755786
0,15,13.154174
0,15,13.542644
0,15,13.96301
0,15,14.365821
0,15,14.75707
0,15,15.142932
0,15,15.528556
0,15,15.930198
0,15,16.358269
0,15,16.764302
0,15,17.165073
0,15,17.549805
0,15,17.936651
0,15,18.324367
0,15,18.710218
0,15,19.100186
0,15,19.521323
0,15,19.949362
0,15,20.357139
0,15,20.758631
0,15,21.169129
0,15,21.576067
0,15,21.984246
0,15,22.393172
0,15,22.78622
0,15,23.222742
0,15,23.717124
0,15,24.285741
0,15,24.732744
0,15,25.139818
0,15,25.584243
0,15,26.006349
0,15,26.398577
0,15,26.791516
0,15,27.181997
0,15,27.650612
0,15,28.102345
0,15,28.534672
0,15,28.951846
0,15,29.466433
0,15,30.045226
0,15,30.505643
0,15,30.935676
0,15,31.343561
0,15,31.741297
0,15,33.526178
0,15,33.918457
0,15,34.365369
0,15,34.784073
0,15,35.17268
0,15,35.565931
0,15,35.956808
0,15,36.355248
0,15,36.750607
0,15,37.141593
0,15,37.53194
0,15,37.924286
0,15,38.315894
0,15,38.71558
0,15,39.107213
0,15,39.49851
0,15,39.888994
0,15,40.279293
0,15,40.670401
0,15,41.061565
0,15,41.452752
0,15,41.843971
0,15,42.234768
0,15,42.629451
0,15,43.021129
0,15,43.414199
0,15,43.808432
0,15,44.203789
0,15,44.593554
0,15,44.985591
0,15,45.377315
0,15,45.770167
0,15,46.160446
0,15,46.552434
0,15,46.943142
0,15,47.332822
0,15,47.725805
0,15,48.115735
0,15,48.506614
0,15,48.898175
0,15,49.29021
0,15,49.681029
0,15,50.07179
0,15,50.463264
0,15,50.853386
0,15,52.632729
0,15,53.017224
0,15,53.407241
0,15,53.797167
0,15,54.187943
0,15,54.578583
0,15,54.969479
0,15,55.360595
0,15,55.754161
0,15,56.144609
0,15,56.535751
0,15,56.928154
0,15,57.319506
0,15,57.709233
0,15,58.100699
0,15,58.492941
0,15,58.88457
0,15,59.276304
0,15,59.668931
0,15,60.060871
0,15,60.451868
0,15,60.842052
0,15,61.234761
0,15,61.648355
0,15,62.066077
0,15,62.475182
0,15,62.880436
0,15,63.290361
0,15,63.697787
0,15,64.104936
0,15,64.505486
0,15,64.902727
0,15,65.29874
0,15,65.69354
0,15,66.089244
0,15,66.488051
0,15,66.897303
0,15,67.303511
0,15,67.707832
0,15,68.112335
0,15,68.515259
0,15,68.914894
0,15,69.316437
0,15,69.714827
0,15,70.110864
0,15,70.505888
0,15,70.899999
0,15,71.29738
0,15,71.692478
0,15,72.08865
0,15,72.488965
0,15,72.890965
0,15,73.289332
0,15,73.689513
0,15,74.091206
0,15,74.488885
0,15,74.888432
0,15,75.286152
0,15,75.682507
0,15,76.07861
0,15,76.477266
0,15,76.875277
0,15,77.27192
0,15,77.66784
0,15,78.066383
0,15,78.465871
0,15,78.867106
0,15,79.2664
0,15,79.662932
0,15,80.059454
0,15,80.460463
0,15,80.858349
0,15,81.254789
0,15,81.6496
0,15,82.046972
0,15,82.445854
0,15,82.842832
0,15,83.241286
0,15,83.64055
0,15,84.036878
0,15,84.436615
0,15,84.833728
0,15,85.230071
0,15,85.626527
0,15,86.026616
0,15,86.424691
0,15,86.824054
0,15,87.219249
0,15,87.613905
0,15,88.00777
