#{"t_start": 1639671910.8962977, "env_id": null}
r,l,t
-2.627962,251,2.456076
-0.755812,70,3.376532
-1.855437,182,5.172302
-1.039619,103,6.345351
-3.663663,375,9.57193
-1.94501,220,11.77257
-0.803559,337,15.029783
-0.700169,38,15.690496
-1.605146,371,18.938963
-1.009437,21,19.46193
-0.924972,18,19.963212
-0.90248,74,20.885323
-0.615351,72,21.79997
-1.597647,136,23.219029
-0.991128,21,23.754431
-1.852693,173,26.061619
-0.17471,87,27.382878
-0.953627,52,28.332861
-1.164821,89,29.763927
-2.687268,275,33.187908
-0.943102,54,34.173759
-0.490961,69,35.3189
-1.900341,117,36.966549
-1.058023,97,38.411237
-0.476299,164,40.612141
-1.292591,213,43.271992
-1.327187,122,44.940275
-0.474533,151,46.926967
-2.071216,128,48.629618
-1.176778,37,50.901273
-3.233651,565,57.251544
-0.834382,184,59.591268
0.116134,550,65.947956
-1.706116,117,67.528393
-3.359039,247,70.443584
-1.492801,164,72.552112
-0.44593,356,76.659031
-0.995865,264,79.769367
-0.981456,28,80.463633
-0.747132,129,82.185889
-0.890953,84,83.47032
-0.998197,36,84.256427
-1.684453,202,86.983541
-1.110208,59,88.059247
-0.222815,254,91.148332
-1.597116,200,93.576981
-0.814635,140,95.442615
-1.153662,212,98.065911
-1.218465,209,100.584204
-0.851039,232,104.774708
-1.221841,312,108.412784
-1.041441,80,109.644356
-2.314382,495,115.278623
-0.80628,25,115.972096
-0.747446,76,117.146045
-1.999491,1001,128.034883
-1.246742,80,129.255657
-0.904827,29,129.966269
-0.908454,73,131.0849
-0.416574,226,133.838675
-1.038428,60,134.854597
-2.232965,425,139.708464
-2.403026,479,145.492208
-1.560953,180,147.773597
0.712035,328,151.582612
-3.346703,553,158.891136
-0.826573,759,167.117968
-1.731206,250,170.128885
-1.189859,101,171.83756
0.001247,472,177.232887
-0.755677,61,178.286205
-2.194231,493,183.837426
-1.01025,25,184.513311
-0.926469,58,185.49261
-1.655182,112,187.277381
-2.011464,819,196.533358
-0.88007,23,197.194553
-1.043375,91,198.472512
-1.26196,169,200.661905
-0.806012,73,201.839364
