#{"t_start": 1641218360.8412464, "env_id": null}
r,l,t
-10.609154,1001,17.492368
-8.481804,492,25.768021
-7.711239,1001,42.718154
-3.332145,274,47.307551
-12.938045,1001,63.787414
-10.063765,1001,80.787802
-2.064475,217,84.322258
-10.884565,1001,103.518527
-2.855729,644,116.650567
-3.22785,568,129.308593
-3.360009,1001,148.755562
-3.340399,752,165.006634
-2.393057,1001,187.380033
-4.579899,1001,209.23264
-2.303423,1001,229.894063
-3.097985,489,240.440901
-3.851874,1001,261.174282
-0.333007,1001,281.29704
1.078916,1001,301.963202
-0.288721,1001,322.592912
-0.910534,1001,343.747677
-2.854911,702,357.589079
-2.673211,1001,378.776911
3.954771,1001,400.0288
-1.071847,140,403.273252
-2.510361,547,415.081591
1.588584,1001,436.202053
5.139165,656,449.817777
-2.541496,828,467.788614
3.097844,1001,489.205996
3.025103,1001,511.449375
2.864556,1001,532.976911
-1.500883,182,537.155591
6.167581,1001,559.082164
2.443396,1001,580.870937
7.815133,1001,602.697445
7.842059,633,617.270089
-1.601272,83,619.236689
9.099333,1001,642.35185
5.799088,933,663.180417
0.866739,608,677.609572
3.166138,974,698.995931
-0.461266,179,704.540707
2.861681,1001,727.180954
6.302418,1001,749.892469
6.886121,613,764.2299
1.071856,306,770.860073
2.048576,259,778.056532
8.124508,671,793.063061
0.768486,279,800.894729
14.53421,808,819.171439
5.756109,626,834.842114
3.19768,349,843.521735
5.932571,1001,868.807885
14.794004,875,890.842646
12.295869,807,910.516695
2.716382,285,917.395229
13.080755,673,934.470191
12.426234,706,952.420563
13.887009,1001,978.183808
3.436016,347,986.406322
0.71841,246,992.416928
4.015766,342,1001.962861
0.664005,168,1005.959963
3.041466,287,1012.897195
4.233712,754,1031.967546
-1.467357,134,1035.570476
19.813877,1001,1061.277755
1.864057,250,1067.516271
3.70033,464,1080.104593
15.955663,790,1099.809769
15.245908,716,1117.746147
4.432287,359,1126.510004
13.383849,638,1142.830066
1.279713,471,1154.684947
17.370795,1001,1180.31987
20.524286,1001,1206.211482
7.327819,575,1221.233009
6.125517,1001,1247.158717
20.439928,990,1272.086357
16.975897,1001,1298.062624
14.227681,1001,1323.686017
20.709595,1001,1349.870395
3.411062,297,1357.888518
20.907737,1001,1383.937765
20.786511,1001,1410.35227
20.777506,1001,1437.08734
17.309234,1001,1463.881396
19.446759,1001,1490.898539
20.952752,1001,1518.369524
5.500356,407,1529.670363
9.173348,1001,1561.139184
20.599647,1001,1593.636529
4.141022,333,1605.179167
20.670178,1001,1638.775041
20.57332,1001,1672.287999
6.184811,447,1687.14166
11.53284,529,1704.286251
16.417554,779,1730.491694
20.686405,1001,1761.611008
0.199659,170,1767.449491
13.862222,1001,1804.996878
6.844871,478,1822.048726
20.766554,1001,1855.156026
19.703639,1001,1886.398284
2.027893,226,1894.262811
20.696915,1001,1925.687927
20.949756,1001,1958.653053
13.393731,607,1979.082001
20.90911,1001,2012.358208
20.603048,1001,2046.259993
20.804618,1001,2077.131523
20.849414,1001,2107.422886
20.817921,1001,2137.85826
20.861436,1001,2170.04147
20.744811,1001,2202.996828
4.835138,377,2216.504945
20.701606,1001,2247.115719
20.794344,1001,2277.684156
20.8601,1001,2307.677804
20.95748,1001,2337.769771
20.945245,1001,2368.619757
20.898248,1001,2399.037875
20.851102,1001,2429.413476
20.330252,1001,2460.627249
20.887396,1001,2491.939851
20.926937,1001,2522.830533
20.787465,1001,2554.472861
19.228677,910,2582.213233
20.792597,1001,2614.303152
20.890789,1001,2646.208956
20.926799,1001,2678.204
18.968693,906,2706.554891
20.942369,1001,2738.737535
20.865062,1001,2771.391555
20.690357,1001,2804.125305
15.834604,740,2828.950268
20.74074,1001,2861.25972
20.913488,1001,2893.949421
20.871928,1001,2926.761764
20.903618,1001,2960.173948
21.011057,1001,2993.635741
21.043572,1001,3028.006961
20.932634,1001,3063.415848
21.017027,1001,3099.847497
21.025801,1001,3133.42446
21.047082,1001,3167.223137
21.044759,1001,3199.170036
20.953191,1001,3232.008809
21.0217,1001,3265.746078
21.015289,1001,3300.370377
21.005276,1001,3334.300864
20.910155,1001,3368.537853
21.079617,1001,3402.747099
20.977381,1001,3437.27669
21.032235,1001,3472.139984
21.065487,1001,3506.697525
20.991737,1001,3540.313818
21.043759,1001,3574.634865
21.074837,1001,3609.414544
21.04004,1001,3644.620923
21.100455,1001,3679.619025
21.043163,1001,3714.971931
21.095065,1001,3750.613108
21.045007,1001,3785.566282
21.045535,1001,3821.041715
21.099345,1001,3856.723547
20.986742,1001,3892.521794
21.09013,1001,3928.323444
21.102423,1001,3964.090211
21.132836,1001,4000.874816
21.057061,1001,4037.431023
21.155249,1001,4073.697719
21.081156,1001,4110.582379
21.136819,1001,4146.842229
21.106705,1001,4183.786294
21.098521,1001,4220.638626
21.072557,1001,4258.145706
21.0533,1001,4294.898242
21.09895,1001,4332.042813
21.045746,1001,4369.136735
21.182771,1001,4406.703906
21.150677,1001,4444.632039
21.109025,1001,4482.480366
21.179863,1001,4520.608475
21.153156,1001,4558.650289
21.184695,1001,4596.696523
21.158643,1001,4634.855532
21.16143,1001,4672.542611
21.1713,1001,4710.719303
21.045482,1001,4748.957119
21.179772,1001,4787.224409
21.23396,1001,4824.45229
21.190662,1001,4863.655987
21.169025,1001,4902.964303
21.219967,1001,4941.746258
21.241746,1001,4981.040861
21.202547,1001,5020.417749
21.228706,1001,5059.84466
21.197832,1001,5100.037501
21.247675,1001,5139.750306
21.260845,1001,5179.377949
21.128059,1001,5218.650879
21.26106,1001,5258.606254
21.216589,1001,5298.484645
21.26129,1001,5339.106838
21.258861,1001,5378.60607
21.177223,1001,5420.249739
21.267995,1001,5460.503614
21.196527,1001,5501.035734
21.265858,1001,5541.638518
21.232103,1001,5582.699069
4.696823,354,5598.928185
21.318311,1001,5640.164266
21.350237,1001,5681.235493
21.347907,1001,5722.723873
21.302614,1001,5764.615486
21.25909,1001,5806.63741
21.326477,1001,5847.966929
