#{"t_start": 1639640444.8133337, "env_id": null}
r,l,t
1.365186,499,3.574773
4.418554,1001,10.381554
-0.594606,126,11.518042
4.437227,1001,18.378803
2.031291,1001,25.230695
0.379093,328,27.688581
0.497878,735,33.533535
3.386919,1001,40.377245
1.822255,1001,47.22262
-1.094735,48,47.86244
1.505202,1001,54.674974
-1.025027,1001,62.255306
2.076569,1001,69.083099
-1.103757,22,69.557697
4.740702,1001,76.386678
-1.028057,28,76.895516
5.626935,818,82.523736
0.801298,283,84.682003
1.932581,1001,92.231897
3.599936,1001,99.057328
4.924107,1001,105.883872
1.340306,1001,112.709113
1.721693,1001,121.970664
-0.745891,121,123.362971
5.393938,1001,132.228237
5.718143,1001,141.023903
4.127644,1001,149.046433
1.703065,462,154.154841
0.724437,219,156.190799
8.073545,1001,164.171499
3.956394,689,169.738282
2.427935,493,173.825015
4.810825,932,181.323923
0.265002,219,183.305501
8.409044,1000,192.212876
6.399716,1001,200.223572
0.14606,81,201.142719
4.783099,1001,209.117446
2.413693,360,212.205819
0.41465,220,214.184348
1.969321,416,217.687057
2.435631,359,220.754105
0.393482,319,224.474195
9.543707,1001,232.523686
1.596153,288,235.104898
9.469807,1001,243.16277
10.951432,1001,251.161302
9.816793,1001,260.105155
2.654416,339,263.014093
8.639819,666,268.442867
10.532823,1001,276.474656
12.031513,1001,284.427494
10.319498,953,292.996765
4.791859,414,296.435108
0.197476,119,297.644065
13.360463,1001,306.061334
14.492453,1001,314.193219
6.495049,569,318.900845
10.447365,787,325.228461
16.672973,1001,334.163229
13.00649,1001,342.063708
17.122786,1001,349.973271
4.911775,423,353.477834
11.570031,890,361.471294
2.09957,218,363.433598
16.098435,1001,371.406013
14.978576,1001,379.419241
14.216456,1001,387.331034
17.632042,1001,396.231217
-1.101437,22,396.729106
2.6965,197,398.499573
14.803335,1001,406.499335
6.454698,456,410.241733
13.086206,850,417.113056
17.429878,1001,425.096416
12.047189,1001,433.970777
9.400992,471,437.906929
0.995443,140,439.269741
14.814581,754,445.393236
20.294789,1001,453.368058
4.053635,293,455.885385
9.91567,726,462.639176
19.733129,1001,470.594902
10.428707,665,475.881612
17.046347,1001,483.882117
18.036626,1001,491.805879
13.777655,1001,500.637419
18.408907,1001,508.543981
14.657323,973,516.221028
15.172281,838,522.97251
18.289237,1001,531.850768
20.567221,965,539.470434
20.666106,1001,547.379843
3.912915,199,549.16802
22.054258,1001,557.029216
0.929545,131,558.301879
8.713153,471,563.001965
21.708225,1001,570.945455
25.996468,1001,578.856242
22.287727,1001,586.741185
10.501747,508,590.875651
10.514749,576,595.57463
21.89133,1001,604.398909
26.741985,1001,612.309027
21.756687,1001,620.231157
30.936401,1001,628.165884
28.083536,1001,637.029069
27.647294,1001,644.991125
12.547227,463,648.771839
20.888486,865,655.656286
28.034575,1001,664.423597
22.299331,767,670.525265
30.687719,1001,678.406396
11.396495,465,682.25073
27.064196,963,689.886437
13.138816,563,694.486825
26.154897,1001,703.29692
30.600245,1001,711.217517
32.336239,1001,719.076665
27.806197,1001,727.00462
12.926627,496,732.051904
32.748644,1001,739.948562
12.763898,440,743.564422
31.859471,1001,751.443537
25.028638,776,757.716187
27.498816,1001,766.567342
37.055074,1001,774.627554
35.505089,1001,782.714398
35.380868,1001,790.838989
34.671744,1001,799.871876
14.115083,487,803.888466
32.559024,1001,811.984385
28.227612,814,818.699125
36.433122,1001,826.806229
35.779228,1001,835.843466
36.725525,1001,843.961929
35.464889,1001,852.081097
36.443041,1001,860.147514
34.528331,1001,869.127325
23.673629,664,874.528026
37.198764,1001,882.645588
34.258641,1001,890.731571
8.797364,288,893.273216
38.196362,1001,902.350998
45.420568,1001,910.466513
36.460663,1001,918.500167
38.843895,1001,926.596308
38.815284,1001,935.618534
41.864237,1001,943.66629
41.774539,1001,951.729751
42.728463,1001,959.866743
41.899771,1001,968.935814
7.212923,246,971.177461
42.062604,1001,979.275993
45.73633,1001,987.327257
41.987929,1001,995.355503
36.577052,1001,1004.268257
36.784265,954,1011.974442
48.449028,1001,1019.974626
9.148577,321,1022.743187
41.094979,1001,1030.767298
47.11016,1001,1039.740982
35.90619,726,1045.639897
10.043831,313,1048.349344
13.384224,305,1050.954574
48.611865,1001,1059.078798
46.860981,1001,1067.099614
43.95579,1001,1076.104501
8.446207,207,1077.980657
26.901942,522,1082.331672
44.376852,1001,1090.364895
12.21753,310,1093.072992
25.048417,480,1097.097128
