#{"t_start": 1639835939.7989116, "env_id": null}
r,l,t
9.238981,312,2.517254
28.589094,1001,9.448781
14.278397,488,13.183371
17.318241,596,17.950679
28.773226,1001,27.302183
28.847955,1001,38.119836
29.259131,1001,47.564279
14.276446,492,52.373157
16.476284,563,57.757598
15.168107,518,62.74302
6.57168,217,65.071834
9.761998,325,68.40909
15.964014,538,73.609277
28.716379,1001,84.173941
8.279103,280,87.039427
18.482856,636,93.17882
10.838231,363,96.802464
29.068209,1001,106.246881
25.805951,882,114.572272
15.694732,530,120.833307
15.180674,531,126.265921
28.499626,1001,136.044718
9.675244,314,139.228537
28.97185,1000,148.660086
28.867541,1001,159.166489
17.314535,596,164.924376
28.965548,1001,174.381584
28.833252,1001,183.794992
28.742823,1001,193.510113
16.56196,558,200.043899
6.706787,225,202.364576
12.355559,413,206.447797
28.707868,1001,215.839478
7.083329,227,218.227779
29.215467,1001,227.543704
26.27954,887,235.96633
29.318817,1001,246.707132
13.497505,469,251.228454
23.659163,818,258.862887
13.686931,452,263.273362
15.233245,517,268.170985
29.037908,1001,278.684354
29.023949,1001,288.050176
7.554699,246,290.6172
29.00182,1001,301.627259
13.611892,467,307.060352
13.000256,438,312.155323
28.838628,1001,324.65053
16.060067,542,330.528517
28.785864,1001,340.309571
23.990948,819,347.679044
25.300929,869,355.892727
28.583956,1001,365.816256
10.470663,357,370.126449
20.628116,712,381.432436
29.242215,1001,402.660425
28.809322,1001,412.015082
29.327505,1001,422.664664
8.207013,262,425.681531
12.898984,442,430.082688
28.688631,1001,439.602394
28.97994,1001,449.16215
28.878388,1001,458.76078
29.485577,1001,469.501058
29.280264,1001,479.116251
13.142651,451,483.614697
20.656801,708,490.498897
18.496762,624,496.602378
15.94138,540,503.098573
12.976976,436,507.407598
28.930478,1001,516.980855
29.098376,1001,526.570798
13.788302,467,531.213142
29.293732,1001,540.768586
10.797495,353,545.539462
14.620767,495,550.418792
11.23292,384,554.280918
28.642683,1001,563.883086
12.283473,405,567.978391
3.727817,176,569.946473
29.058007,1001,579.592314
22.499742,782,588.445779
29.146371,1001,598.210457
29.02979,1001,607.854741
10.066087,341,611.705689
27.678433,954,621.558221
28.819516,1001,633.548141
17.498034,599,639.732552
24.743095,853,648.059948
20.637081,719,655.183659
29.379423,1001,664.980657
28.662609,987,675.87763
29.298964,1001,685.505528
19.585221,661,691.993317
29.116685,1001,701.755228
29.381965,1001,712.708981
22.64346,776,720.363538
28.951117,1001,730.078786
29.590888,1001,739.682506
24.147029,823,748.780715
12.249524,415,756.051427
2.533336,144,757.549374
20.738744,720,763.834455
29.1447,1001,772.191039
28.646501,1001,781.379478
11.579145,391,784.987372
28.659744,1001,797.960624
28.657749,1001,806.920243
29.234684,1001,815.468854
29.205152,1001,824.400372
25.233807,867,834.101595
29.526496,1001,843.803605
9.025141,299,846.991068
21.928478,746,854.304537
29.226292,1001,864.021752
28.892878,1001,874.895846
29.155358,1001,884.723855
9.945148,328,888.08806
29.00263,1001,897.943724
11.172884,370,901.802195
29.557393,1001,911.665014
29.121852,1001,923.831613
29.7707,1001,933.773162
12.444816,420,938.181533
29.050105,1001,948.296897
11.543404,387,952.640995
29.247627,1001,963.716842
29.130727,1001,973.63302
29.610183,1001,983.485667
29.01855,1001,993.36367
29.655465,1001,1003.775369
29.764613,1001,1012.166231
29.475489,1001,1020.480351
29.291368,1001,1028.870048
29.348776,1001,1038.349457
29.540422,1001,1046.812256
9.502611,318,1049.645293
29.302503,1001,1058.040646
13.626523,458,1062.065856
29.152908,1001,1070.449634
9.401645,308,1074.253645
29.181534,1001,1082.684763
12.331288,418,1086.365765
29.087764,1001,1094.809263
17.166553,573,1099.73243
29.366984,1001,1109.144446
29.289443,1001,1117.526621
29.531961,1001,1125.875855
29.119366,1001,1134.285316
29.473343,1001,1142.653501
29.363333,1001,1152.031795
29.50633,1001,1160.522795
29.042747,1001,1168.903152
28.948747,1001,1177.339753
16.773448,553,1183.225226
29.094,1001,1192.43341
29.429549,1001,1200.925353
9.004036,290,1203.526761
29.54869,1001,1212.337936
29.323927,1001,1221.703809
9.093745,312,1224.478544
29.802898,1001,1232.80718
16.740849,565,1237.671775
29.42418,1001,1246.004096
17.615056,585,1251.93517
29.559951,1001,1260.351651
1.297262,98,1261.442049
28.991168,1001,1269.743241
10.487738,349,1272.835303
24.456542,822,1279.709326
29.723613,1001,1289.127474
29.282227,1001,1297.47446
29.737202,1001,1306.177649
29.346372,1001,1314.681838
29.633673,1001,1323.983113
29.849208,1001,1332.209047
