#{"t_start": 1639841246.173164, "env_id": null}
r,l,t
34.071219,1001,7.204973
34.474067,1001,14.740293
35.120888,1001,22.183998
34.937542,1001,29.829099
34.576141,1001,41.029721
34.936074,1001,50.831659
34.534382,1001,60.590341
34.556259,1001,70.255767
34.276732,1001,81.270255
34.767809,1001,91.013878
34.306871,1001,100.822145
34.542857,1001,110.662853
33.924551,1001,121.566052
34.745089,1001,131.274036
35.08498,1001,141.022116
34.779309,1001,150.784204
34.523188,1001,161.661398
34.061229,1001,170.247289
34.559461,1001,178.622081
34.904228,1001,187.052218
34.415881,1001,196.580468
34.83213,1001,204.961923
34.007426,1001,213.425998
34.414289,1001,221.893704
34.809276,1001,231.553556
34.337276,1001,240.04567
34.612101,1001,248.556634
34.316614,1001,257.048086
34.924362,1001,266.472531
34.55557,1001,274.973901
34.323967,1001,284.136201
34.280502,1001,292.637149
34.90322,1001,302.195446
34.513522,1001,310.719081
35.004506,1001,319.208333
34.086837,1001,328.137552
34.167521,1001,337.632823
34.567339,1001,346.029315
34.723189,1001,354.50815
33.955293,1001,362.988941
34.288884,1001,372.629129
34.850568,1001,381.321819
34.27311,1001,389.816406
34.353412,1001,398.354399
35.098359,1001,406.874526
34.796495,1001,416.414408
34.637175,1001,424.861217
34.22138,1001,433.390653
35.116635,1001,441.807951
33.759642,1001,451.360319
34.604796,1001,459.83417
34.695725,1001,468.880256
20.334577,581,474.243643
34.390404,1001,483.644074
34.573605,1001,492.055227
35.159762,1001,500.63834
35.111749,1001,508.987639
34.815828,1001,518.601019
34.778833,1001,527.053263
35.055006,1001,535.571668
35.242966,1001,544.718077
34.965943,1001,554.105149
34.53682,1001,562.534555
35.122294,1001,570.998178
34.844762,1001,579.306647
34.675743,1001,588.743721
34.341736,1001,597.129313
34.457298,1001,605.441577
34.564564,1001,613.86006
34.474557,1001,623.280035
34.294683,1001,631.725788
34.66832,1001,640.178956
34.583728,1001,648.603201
34.506609,1001,656.890123
34.252894,1001,666.379606
34.334007,1001,674.767274
35.260614,1001,683.200616
34.771754,1001,691.697468
35.17031,1001,701.145325
34.547888,1001,709.525398
34.071963,1001,717.876519
34.954676,1001,726.255656
34.7235,1001,735.6197
34.691992,1001,744.082618
35.098892,1001,752.435098
35.288971,1001,760.771326
34.830697,1001,770.199436
34.210519,1001,778.530232
34.984247,1001,786.89507
34.738274,1001,795.408496
35.105921,1001,805.432344
34.893716,1001,813.94548
35.735694,1001,822.290576
34.930458,1001,830.648239
35.022397,1001,840.034976
35.033325,1001,848.387444
35.097769,1001,856.702156
35.527785,1001,865.201598
35.104326,1001,874.758963
34.760182,1001,883.113021
35.372395,1001,891.568663
35.751132,1001,899.95652
35.101817,1001,909.301952
34.953927,1001,917.767978
35.160963,1001,926.075191
35.410352,1001,934.50468
35.093192,1001,944.010416
35.430923,1001,952.295292
34.849745,1001,960.771874
35.051575,1001,969.175519
35.024004,1001,978.609169
35.292919,1001,986.98344
34.666529,1001,995.405923
35.351775,1001,1003.78735
35.518224,1001,1013.203543
35.352729,1001,1021.68202
35.481997,1001,1030.104806
35.433564,1001,1038.518522
34.911311,1001,1047.051052
35.436286,1001,1056.468862
35.716969,1001,1065.290458
35.274204,1001,1073.659557
35.180009,1001,1081.927712
34.908041,1001,1091.29707
35.46198,1001,1099.820234
35.57211,1001,1108.262133
34.78471,1001,1116.683867
35.410213,1001,1126.051851
35.290549,1001,1134.631721
34.898025,1001,1143.103425
35.199607,1001,1151.465576
34.495427,1001,1160.891567
35.117913,1001,1169.348442
35.05408,1001,1177.69792
35.453913,1001,1185.979583
35.24755,1001,1195.38903
34.842338,1001,1203.710231
35.272544,1001,1212.105618
35.063234,1001,1220.626718
34.687217,1001,1230.017806
35.34773,1001,1238.332232
35.000868,1001,1246.654417
35.489405,1001,1254.992106
35.501732,1001,1264.350854
35.508901,1001,1272.764517
35.131384,1001,1281.178153
35.453272,1001,1289.605176
35.136898,1001,1299.091507
35.884776,1001,1307.40364
34.976324,1001,1315.814467
34.623453,1001,1324.760494
35.565936,1001,1334.146224
35.598109,1001,1342.552831
35.267967,1001,1350.967792
35.368781,1001,1359.37673
35.411865,1001,1368.798602
34.620389,1001,1377.21123
35.462893,1001,1385.532499
35.406132,1001,1393.936177
35.305222,1001,1402.405196
35.168527,1001,1411.866494
