#{"t_start": 1639954227.8493817, "env_id": null}
r,l,t
-6.0582,2961,20.744688
-3.520959,853,26.966794
-5.986375,902,37.004589
-5.937723,1445,49.86097
-7.325823,1387,61.380022
-1.827691,70,62.260787
-3.052896,566,67.16651
-5.087866,1006,76.643709
-3.09619,1341,87.842466
-8.102669,4001,121.655448
-6.52735,3531,151.638913
-2.271094,1402,163.370528
-3.548661,1343,175.764975
-0.279482,528,180.357445
-2.187936,26,180.907674
-0.766443,513,185.340636
-2.404885,1243,195.79439
-0.834227,581,200.803569
-4.57519,750,207.284786
-1.447385,360,211.526455
-1.946024,226,213.716295
1.536099,1442,225.909978
-3.05713,354,229.109879
-1.905574,133,230.500074
-2.289581,142,231.998229
-1.422069,954,240.172741
0.664911,1022,249.927505
3.577929,1460,262.357367
0.422782,649,267.989007
13.453814,3304,296.644089
-2.180426,516,301.203894
1.749835,742,307.663043
-1.797686,188,309.534766
15.399874,3046,336.183111
-0.595024,719,342.877796
-0.639374,265,345.486652
-0.183318,406,349.256892
3.1488,874,357.855669
16.48013,2234,376.656906
6.849183,1544,389.755739
1.527722,689,396.79819
-0.067266,299,399.563466
0.477085,384,403.103303
10.755113,1953,419.546087
2.307093,599,424.760857
12.958786,1833,441.203546
1.807956,642,446.806381
21.218231,2442,468.340578
11.303298,1046,477.342711
6.472924,835,484.615066
15.516971,1467,497.123522
0.313695,576,503.208086
41.346585,2917,527.809212
0.012482,182,529.617938
29.97217,1901,546.717283
18.925605,1245,557.388548
10.502404,809,564.410043
10.185847,1050,574.553043
3.495237,510,579.121903
6.197094,640,585.152456
35.00532,2342,605.574027
40.389966,2179,625.175297
20.711025,1218,635.720011
7.050825,498,640.20967
46.948523,2627,664.033666
9.850811,603,669.437184
23.731281,1139,679.390672
21.954095,1198,690.844794
44.097709,2100,708.843411
24.605007,1212,720.426272
5.941354,379,723.917692
8.094389,506,728.50422
20.841171,965,737.000347
29.044675,1295,748.258231
3.209256,257,750.744639
1.474881,328,753.832124
10.827727,588,760.149181
7.127852,531,764.929519
6.435583,473,769.258798
10.031219,505,773.867986
1.218556,217,776.037978
31.769581,1209,786.608786
3.106387,283,789.330596
9.591686,535,795.207904
4.2832,317,798.216784
18.917819,694,804.387005
21.369803,875,812.154496
45.620137,1715,827.016097
4.673213,349,830.278088
8.069529,428,835.281986
27.334586,1060,844.619051
7.907872,458,848.811686
31.251649,1105,858.512317
6.102889,341,861.707106
11.442712,534,866.611175
8.982657,402,871.323015
3.613309,255,873.83644
9.404933,394,877.484027
11.309399,603,882.944348
0.2414,137,884.449957
24.754814,955,892.917122
34.097052,1120,902.801725
21.100553,748,910.508507
24.045869,761,917.315765
19.118852,611,922.817167
19.365199,655,928.745074
5.576624,346,932.007168
19.537306,648,937.9012
2.895537,211,939.992512
38.882442,1248,951.922499
4.098266,290,954.699245
54.428622,1824,970.691666
54.028889,1767,987.117819
8.797205,421,990.997955
19.127567,591,996.318858
69.821874,2226,1015.566105
