#{"t_start": 1641206235.3865197, "env_id": null}
r,l,t
-13.46444,1001,16.426328
-5.518956,796,30.813327
-4.81656,1001,50.144788
-5.771777,1001,68.32771
-8.223471,1001,85.938948
-10.468123,1001,109.107087
-3.116382,586,123.608043
-7.943275,1001,145.053866
-3.217214,1001,166.250512
-3.809429,1001,188.061404
-1.401211,1001,209.901572
-1.455042,1001,231.420202
-6.133234,1001,251.822386
-2.197782,273,257.540648
-3.301121,426,265.444041
-12.170568,995,286.375833
1.590323,1001,308.208984
-1.824276,412,318.16895
-0.516381,1001,340.500764
-6.672176,1001,363.246199
0.831412,813,380.068054
3.248037,1001,403.160298
2.720145,1001,426.715555
3.434723,1001,449.495638
-1.719108,351,458.322506
-2.336771,962,480.832615
0.005836,1001,503.165949
2.009511,1001,526.693088
-0.655767,1001,549.765086
0.826227,1001,573.3761
1.205295,331,582.036155
1.622964,1001,606.255399
-0.603161,1001,630.810241
1.622516,1001,654.443341
4.53934,1001,680.305553
10.752362,1001,707.106703
8.253452,1001,731.4008
7.058905,1001,754.464284
7.070167,1001,777.514461
15.073337,1001,800.671581
4.399385,460,810.629341
5.321726,679,827.384435
6.25642,1001,850.461022
0.723517,699,866.934813
4.676023,455,878.278841
12.795173,966,900.885773
2.797447,499,912.715095
2.11528,291,921.109843
1.805936,250,927.720464
10.257799,1001,952.303236
9.61948,1001,977.641445
5.67542,460,988.456028
5.953101,680,1004.97028
11.670641,1001,1031.996739
2.774198,645,1051.787969
12.355851,1001,1080.229336
4.648153,380,1091.600803
8.790322,856,1115.457413
14.642572,687,1134.223215
17.648191,1001,1159.482425
0.583775,381,1170.269123
6.148304,501,1182.197395
11.985964,558,1196.858233
3.100551,350,1205.462361
6.814063,777,1225.805313
15.514618,1001,1251.425221
1.705825,298,1259.014121
11.765431,606,1275.23563
19.203353,1001,1301.606005
19.894673,1001,1327.338518
17.534779,1001,1353.734872
18.756382,919,1378.341295
19.025468,1001,1404.100991
7.688169,559,1419.633718
19.871901,1001,1447.027178
17.265224,832,1469.041834
20.663012,1001,1495.624107
14.74324,690,1513.968537
20.26927,1001,1540.596326
11.126207,490,1554.134317
14.317168,669,1573.199366
2.227068,239,1579.201696
20.796037,1001,1605.86336
20.918915,1001,1632.750283
20.775658,1001,1658.823851
12.680036,578,1674.584145
20.094579,1001,1702.556422
20.389201,1001,1729.164605
12.994896,588,1746.025836
16.999936,817,1768.641139
1.719729,212,1774.152224
20.863323,1001,1801.392985
20.596707,1001,1829.486643
20.864415,1001,1856.870482
20.73124,1001,1884.583973
20.941881,1001,1912.62466
20.923769,1001,1940.305673
20.869463,1001,1968.454582
20.892895,1001,1996.725472
20.879771,1001,2024.722814
20.689146,1001,2052.878649
13.921717,641,2070.385515
20.382156,1001,2098.827236
20.874632,1001,2127.282907
20.898773,1001,2155.838466
