#{"t_start": 1639947255.8786535, "env_id": null}
r,l,t
2.482975,953,6.879234
-1.071259,1001,13.828949
-0.375044,315,16.241691
-2.152798,20,16.706585
-0.201761,571,20.819119
5.731089,1001,27.835367
0.114398,424,31.783345
1.342449,283,34.00823
-1.728025,1001,41.065769
-0.263947,291,43.359784
1.580918,887,49.711278
-1.439737,1001,56.861584
-0.364162,844,63.674703
-1.285669,1001,70.893023
2.08213,270,73.08835
-2.147233,21,73.57475
1.26472,88,74.548935
4.108311,1001,84.518734
-2.377671,478,88.99303
-2.112339,1001,101.498644
3.559261,1001,111.784356
3.815866,1001,122.084144
1.543791,835,130.941453
3.187386,1001,140.842781
3.369305,1001,151.40404
0.968618,226,153.883132
5.808493,823,162.610936
6.231217,727,169.738127
3.162431,620,177.106269
3.031219,576,183.605657
0.695167,515,190.916538
-1.76434,363,195.334703
2.96494,932,205.478389
2.36337,194,208.18408
1.905244,609,215.150536
2.655255,177,217.36825
1.970529,1001,227.525156
6.063955,881,238.84549
1.08935,220,241.644508
2.135147,288,245.438832
-1.009771,217,248.48019
-2.139632,21,249.207484
4.59474,1001,261.238258
1.062372,434,265.965233
1.533117,335,269.975264
6.235589,1001,283.392343
3.01488,277,289.715341
4.659361,299,294.117045
0.191503,338,297.887664
-0.575093,124,299.650717
0.801562,460,305.351731
2.140621,941,315.487303
1.122672,392,319.549292
-0.267649,190,321.707582
4.119344,462,326.552377
4.20774,580,332.542444
5.700834,695,340.819077
4.307046,510,346.214892
8.545743,1001,356.402214
4.149629,782,364.46261
-0.30531,153,366.351703
2.038057,341,370.051718
1.283906,357,373.891337
1.103552,160,375.863573
0.229094,89,377.111264
1.23901,260,379.995877
6.053426,270,383.740855
7.832557,1001,393.005844
2.091373,398,397.232295
5.399774,759,406.018244
8.479937,1001,418.197943
1.523337,220,421.121632
2.182415,367,425.462578
2.556916,298,431.052622
11.154946,1001,440.135377
2.266012,264,442.783053
-2.099598,25,443.363357
5.561369,331,446.586791
8.595611,1001,455.876247
1.218454,235,459.656162
8.722781,915,470.481428
6.650895,1001,483.833983
2.996092,299,487.782639
6.569301,587,495.260134
4.080972,199,497.992937
-0.225739,111,499.698165
1.13861,235,502.907625
