#{"t_start": 1641163817.090802, "env_id": null}
r,l,t
-2.497258,284,2.363273
-2.44942,192,4.000713
1.254198,1001,10.833409
-4.490202,468,14.185661
-2.217041,345,16.775903
-2.915945,176,18.293301
-1.948497,121,19.420547
-2.329157,113,20.486991
0.206753,1001,27.419696
-2.095241,25,27.91177
-2.819522,245,29.866681
-1.261747,771,35.337278
-0.49859,1001,42.407999
-1.553795,144,43.706085
-2.11829,19,44.166972
-2.453554,530,48.096662
-2.547678,402,51.172915
1.663033,1001,58.368512
0.699322,1001,65.574278
-3.209115,351,68.326237
-2.361648,109,69.412632
-2.10008,301,71.835665
-3.384156,384,74.831586
-0.635868,108,76.906235
-1.942214,25,77.673673
-1.717141,43,78.766205
-1.100326,160,82.603275
-1.378696,65,84.477745
-1.693881,55,86.078023
-1.469542,61,87.829227
-1.491441,63,89.630593
-1.744769,64,91.514582
-1.6726,62,93.26386
-1.54568,107,96.084605
-1.296219,90,98.476997
-1.330266,101,101.147762
-1.252824,75,103.23798
-0.750601,114,106.255649
-0.234259,120,109.319637
-0.301053,143,113.00945
-0.809743,98,115.620258
-0.813641,92,118.029313
-0.917372,101,120.673545
-0.539852,97,123.22947
-0.886754,86,125.547538
-1.126407,86,127.875506
-0.764364,84,130.133515
-0.963305,108,132.927432
0.603654,180,137.50699
0.540838,175,141.865988
-0.723397,148,145.598418
-1.79067,80,147.726409
-0.672382,178,152.204166
1.537954,284,159.128378
-1.537876,66,160.945836
-1.864306,117,164.050036
-1.67099,84,166.348915
-1.923377,88,168.680528
-1.602531,100,171.306265
-1.532443,77,173.407438
0.754081,227,178.970943
-0.762263,129,182.270496
-0.367934,125,185.490166
-0.42521,118,188.556087
-1.043513,113,191.576977
-1.306159,95,194.102356
-0.66919,96,196.646983
-1.009688,83,198.865461
0.770562,189,203.632099
-0.984352,77,205.775691
0.012006,131,209.075686
-1.072539,161,213.120473
-1.734515,67,215.02996
-1.642927,71,216.978385
-1.563056,86,219.2946
-1.499954,90,221.712082
-1.747976,79,223.870115
-1.869063,74,225.940333
-1.672811,104,228.628446
-1.855799,86,230.906154
-1.654141,91,233.362055
-1.633185,74,235.404217
-1.606231,80,237.539049
-1.89767,439,248.116828
-1.454207,97,250.733072
-1.460227,102,253.392854
-2.080799,190,258.128565
-1.942834,211,263.410828
-2.148496,206,268.544779
-2.064351,123,271.745653
-1.949454,83,273.948619
-2.005662,45,275.313256
-1.787809,52,276.840177
-1.12695,251,283.020968
-2.387325,126,286.246181
-2.318816,54,287.810979
-1.906769,58,289.500617
-1.915942,60,291.205502
-1.617613,51,292.740851
-1.681753,131,296.1534
-1.279165,101,298.826648
-2.029788,41,300.087833
-2.028696,48,301.556638
-1.796445,64,303.394794
-1.65482,81,305.770079
-1.950915,99,308.515728
-0.774222,128,311.93743
-1.711486,85,314.277616
-1.779133,70,316.198076
-1.621546,128,319.495653
-1.872738,114,322.467609
-0.17689,143,326.105092
-1.661928,187,330.702708
-0.686325,118,333.742816
-1.278488,115,336.696825
-1.103168,819,355.93767
-1.234468,153,359.744804
-2.090494,170,363.955878
-0.98816,569,377.359989
-2.678646,972,400.169224
-2.38557,1001,423.942586
-3.645273,657,439.668713
-5.236864,636,454.914919
-5.547792,1001,478.667965
-3.15324,305,486.095597
-2.870608,384,495.416365
-2.08586,256,501.695055
-2.477746,251,507.865437
-1.518552,302,515.359116
-2.067449,149,519.184039
-3.206272,483,530.752143
-0.957318,1001,554.323428
-1.492607,817,573.853344
0.777508,1001,597.965149
-1.913771,482,609.70239
5.020722,1001,633.745386
0.620243,528,647.175968
-0.14817,359,656.215869
-1.885481,93,658.692609
-0.950938,312,666.385996
-0.954228,162,670.528545
-0.875103,196,675.432595
-0.508833,224,681.117054
-0.772759,196,686.033474
-0.588484,161,690.138938
0.091571,266,696.805577
-0.910058,154,700.737545
-0.729367,163,704.922493
-0.233834,226,710.688543
-1.300497,230,716.416753
-1.831413,98,719.0857
-2.037551,102,721.787901
-0.723002,296,730.031968
-0.466703,225,735.897394
-0.05962,721,756.588035
-1.133285,214,762.503366
-1.804314,254,769.093566
-1.738766,84,771.467647
-1.667075,76,773.774336
0.912841,494,786.08553
-1.168694,183,791.456779
-1.06805,290,800.50361
-0.417785,321,810.841753
-0.638967,172,816.979293
0.709643,420,831.435069
-0.582404,210,837.632339
-0.360179,313,846.046854
0.77107,279,853.6448
-0.916689,148,857.710667
2.950751,610,873.301152
-1.826438,74,875.430959
6.789081,944,899.081021
5.921648,1001,924.132797
4.050795,1001,949.024671
-1.997408,30,950.071708
-0.715757,182,954.819449
-1.866745,138,958.490068
-1.770786,77,960.708417
-1.71955,234,966.747279
-1.723534,170,971.280831
-2.02692,264,977.99821
-1.75007,84,980.332421
-1.582734,70,982.367626
-2.014351,70,984.39317
-1.638678,344,993.192313
-1.93303,287,1000.623994
-1.513343,178,1005.284234
-1.974308,111,1008.311802
-2.254599,158,1012.475171
-1.806862,88,1014.905159
-2.046006,255,1021.526352
-1.68815,119,1024.741196
-1.971973,89,1027.240826
-1.858198,96,1029.889916
-2.623156,258,1036.537175
0.905208,1001,1061.468188
-1.700691,584,1076.126621
3.0178,1001,1100.881494
-1.059661,89,1103.382079
-1.446951,64,1105.258475
-1.536008,45,1106.667181
-1.722382,52,1108.27471
-1.331283,73,1110.376383
-1.744187,34,1111.510931
-1.342444,83,1113.836057
-1.922356,27,1114.848876
-1.617329,67,1116.777741
-1.463344,59,1118.523003
-1.605475,69,1120.536777
-1.298975,150,1124.498267
-1.292458,137,1128.247088
-1.534138,50,1129.776361
-1.601591,57,1131.456129
-1.402072,64,1133.312772
-1.021423,153,1137.391484
-1.700653,82,1139.738391
-1.236437,69,1141.737914
-1.836697,80,1144.037831
-1.296441,128,1147.560218
-1.596661,54,1149.235492
-0.396064,846,1170.820221
-0.1563,119,1173.988831
0.207737,165,1178.38017
0.415795,155,1182.423193
-0.684456,88,1184.845421
-0.962025,117,1188.005646
0.075813,181,1192.669978
0.090964,146,1196.486695
12.694422,1001,1221.201567
3.516092,706,1238.613563
-1.06783,144,1242.365184
-0.577745,121,1245.631005
-1.051935,164,1249.880985
-0.918079,117,1253.054641
-0.248444,191,1258.021305
-0.072936,234,1264.039376
0.320476,199,1269.152982
-1.326622,486,1281.352287
-0.618763,452,1292.729453
-0.790716,284,1300.042126
-1.160142,706,1317.660718
-2.214793,702,1335.240944
-2.57366,666,1351.933449
-2.932514,367,1361.355133
-0.73879,420,1371.883741
-1.328348,359,1380.961168
0.257945,324,1389.31662
16.430461,1001,1414.263327
13.751362,1001,1439.172534
3.223419,352,1448.268208
10.896071,1001,1473.331517
14.878011,1001,1498.414842
4.555254,757,1517.350224
6.932568,750,1536.034418
3.716365,435,1547.064905
15.197793,1001,1571.863053
16.774145,1001,1597.546864
1.074679,284,1604.954633
0.929204,193,1610.005646
7.749106,623,1625.666148
2.870642,441,1636.921789
6.067106,655,1653.337113
0.674069,213,1658.828772
0.54848,168,1663.26912
3.310386,494,1675.967868
0.346513,237,1682.08388
3.09042,448,1693.494934
-0.38279,135,1697.137426
-0.329057,121,1700.448246
8.975981,974,1724.768134
1.130411,475,1736.847102
8.122365,792,1756.766189
0.52807,195,1761.881177
0.834255,197,1767.135704
-0.218362,159,1771.45862
11.928829,1001,1796.556498
6.268438,1001,1821.697507
-1.304408,755,1840.94188
0.106475,279,1848.264166
0.542732,485,1860.689232
2.105235,563,1874.966315
1.888323,451,1886.540531
11.085195,1001,1911.905156
5.850794,1001,1937.295925
7.79255,1001,1962.678037
8.142464,1001,1988.24326
9.121545,1001,2013.658226
14.102355,1001,2039.132352
15.966503,1001,2064.61633
16.587052,1001,2089.887558
4.650794,566,2104.499302
-0.65566,99,2107.274233
2.082362,269,2114.346627
-0.429423,186,2119.338591
-0.591828,172,2123.990814
-0.218909,147,2128.03583
-0.473997,115,2131.238827
9.306738,849,2153.131879
-0.464865,104,2156.058894
1.492518,309,2164.259537
0.140881,172,2168.975041
1.330357,292,2176.791002
-0.169894,173,2181.549956
6.364424,764,2201.419752
15.281572,1001,2227.309342
6.783327,782,2247.616912
19.739674,1001,2273.602694
13.063714,1001,2299.553159
8.886797,1001,2325.442864
13.056396,1001,2351.679092
12.096706,1001,2377.657787
13.853231,1001,2403.735704
8.275438,823,2425.262607
14.095341,1001,2451.27827
12.976129,1001,2477.511669
17.254753,1001,2503.856678
17.295482,1001,2530.389055
20.668001,1001,2556.945611
21.256492,1001,2583.631948
21.202795,1001,2610.237612
20.932921,1001,2636.630072
21.370616,1001,2662.766736
21.385087,1001,2689.285652
9.303797,600,2705.305873
15.112666,891,2728.916954
5.393179,539,2743.21841
21.393441,1001,2769.520326
16.75995,810,2791.764763
4.60348,379,2802.193412
15.11456,687,2820.545209
2.679034,303,2828.761287
21.366382,1001,2855.596495
