#{"t_start": 1639910009.091563, "env_id": null}
r,l,t
17.374634,1001,7.302271
5.519378,589,11.837965
12.90533,1001,21.140813
16.214434,1001,30.133166
5.009173,452,35.221394
2.671537,326,40.224978
16.900072,1001,50.791321
19.788894,1001,61.298745
20.518127,1001,71.41796
13.78495,882,81.73157
1.946331,243,84.608025
2.159148,348,88.479764
22.788047,1001,98.791502
17.904309,1001,109.202656
20.684711,1001,119.636917
23.480906,1001,131.073731
24.383905,1001,141.208717
22.479068,1001,151.69235
22.388359,1001,162.106357
19.167069,1001,173.682159
21.905284,1001,184.109886
22.411776,1001,194.530068
21.236498,1001,204.912304
23.055721,1001,217.731765
22.868452,971,227.958506
26.060991,1001,239.00175
25.777782,1001,250.724212
28.965484,1001,262.947695
23.92575,1001,273.45505
27.809215,1001,283.923102
25.817975,1001,294.414128
23.985677,1001,306.175438
25.890763,1001,316.65688
28.17456,1001,328.356396
28.830159,1001,337.223707
29.363359,1001,346.774586
28.898302,1001,355.302166
28.459066,1001,363.888198
27.562765,1001,374.471993
30.632128,1001,384.882119
27.13391,1001,396.701283
31.594083,1001,406.946594
28.792511,1001,417.486824
27.721724,1001,428.016294
27.674196,1001,439.749645
29.443385,1001,450.330473
30.795858,1001,460.18601
29.204082,1001,471.505645
29.725885,1001,486.256128
2.949698,248,489.658189
31.955569,1001,501.355998
29.531594,1001,513.828391
30.68212,1001,525.500587
30.87072,1001,539.012747
30.544323,1001,550.681345
30.928441,1001,562.33091
31.034721,1001,573.432411
31.528201,1001,586.298362
31.627362,1001,597.891165
32.089684,1001,609.385949
32.400406,1001,620.834547
30.45682,1001,634.040573
33.11756,1001,646.479282
23.526319,727,655.832048
32.986133,1001,668.55689
32.497833,1001,680.951965
32.736203,1001,691.19809
33.369583,1001,700.470593
31.817308,1001,709.78089
32.44892,1001,720.442148
32.175438,1001,729.478147
33.111235,1001,738.278929
32.972681,1001,747.672167
29.948899,1001,757.689484
32.969833,1001,766.534678
32.757183,1001,775.225186
30.21009,923,783.24915
32.830622,1001,792.972883
33.205099,1001,801.91641
32.888496,1001,811.069473
31.258494,941,819.84992
32.07538,1001,829.011477
33.510066,1001,839.356453
32.865817,1001,848.780559
33.636918,1001,857.679919
34.035907,1001,866.610183
33.408656,1001,876.55792
33.231461,1001,885.413564
33.732288,1001,894.293383
33.069634,1001,903.151918
34.202482,1001,913.037831
33.784173,1001,922.594562
33.211591,1001,932.370312
33.776238,1001,941.307744
33.337372,1001,952.541771
32.975705,1001,961.420201
33.521299,1001,970.385248
33.69502,1001,979.353187
34.268683,1001,989.470118
34.106656,1001,998.349238
32.463563,1001,1007.306609
33.732004,1001,1016.217136
33.842183,1001,1026.954086
33.077558,1001,1036.479795
29.206127,845,1044.264104
34.289315,1001,1053.297453
34.172728,1001,1063.415744
33.144035,1001,1072.51482
33.341273,1001,1082.485897
34.464981,1001,1091.930688
34.611945,1001,1102.118465
34.261043,1001,1111.440914
34.541854,1001,1121.974251
34.305747,1001,1131.183167
33.308463,1001,1141.311382
33.988308,1001,1150.585232
34.93014,1001,1159.584668
34.777577,1001,1168.58975
34.702066,1001,1177.553012
34.437182,1001,1187.504889
34.570049,1001,1196.460184
34.321408,1001,1205.421986
34.102284,1001,1214.377738
34.088137,1001,1224.87596
34.718601,1001,1234.592061
27.800587,812,1242.280726
32.335608,941,1250.817644
34.949547,1001,1262.439893
34.511602,1001,1272.973654
35.427031,1001,1283.455147
35.002137,1001,1293.956318
34.774919,1001,1305.606497
34.620899,1001,1316.101517
34.518112,1001,1326.571332
35.007305,1001,1336.960747
34.553489,1001,1348.66546
34.728234,1001,1359.034401
34.611097,1001,1369.522194
35.365757,1001,1379.846882
34.650906,1001,1392.036211
34.042048,1001,1401.76481
35.240486,1001,1410.784123
34.599717,1001,1419.867737
34.808538,1001,1430.630561
34.783521,1001,1440.734733
34.991427,1001,1450.613069
34.765035,1001,1460.255368
34.784496,1001,1470.369176
34.697781,1001,1479.517486
35.040719,1001,1488.654562
33.997725,1001,1497.700119
35.009259,1001,1506.743373
34.306549,1001,1516.97016
34.983915,1001,1526.124239
34.684504,1001,1536.06014
34.83038,1001,1545.213292
35.06013,1001,1555.487715
35.628256,1001,1564.620897
35.111802,1001,1573.743773
35.317767,1001,1582.910331
35.134828,1001,1593.051152
