#{"t_start": 1639687071.6414385, "env_id": null}
r,l,t
-1.057387,30,0.619477
-1.080045,50,1.28149
-1.059055,42,1.885665
-1.058574,34,2.433068
-1.037379,20,2.881477
-1.033474,17,3.320073
-1.039579,27,3.836864
-1.055249,30,4.394637
-1.036281,21,4.898609
-1.047742,28,5.428715
-1.073422,121,6.708851
-1.095178,42,7.356908
-1.045619,58,8.123902
-1.226542,100,9.18766
-1.041386,27,9.752404
-1.037963,19,10.250921
-1.03873,19,10.758129
-1.046907,20,11.33121
-1.038509,35,11.992544
-1.029189,26,12.566053
-1.056882,30,13.163492
-1.118109,63,14.018167
-1.039744,21,14.525776
-1.042316,25,15.059812
-1.101422,50,15.771454
-1.520448,94,16.811566
-1.075713,41,17.46245
-1.335279,89,18.462812
-1.081521,45,19.148998
-1.032211,19,19.646237
-1.070465,35,20.255345
-1.046128,24,20.780722
-1.09053,50,21.495976
-1.938917,126,22.770341
-1.145186,47,23.467243
-1.034199,17,23.948413
-1.098257,35,24.556481
-1.274365,166,26.121818
-1.035095,52,26.862263
-1.133846,133,28.192253
-1.236653,93,29.233912
-1.494646,151,30.67438
-0.284645,230,32.701024
-1.111193,40,33.395813
-1.092928,43,34.138973
-1.102884,45,34.860612
-1.103457,45,35.544559
-1.230753,77,36.494823
-1.049367,26,37.053367
-1.157454,106,38.21805
-1.145682,75,39.140164
-1.059697,33,39.752877
-1.042705,21,40.266686
-1.049934,25,40.821561
-1.029753,13,41.298795
-1.26869,151,42.739051
-1.160964,63,43.542129
-1.036189,24,44.115278
-1.039956,22,44.670028
-1.121182,59,45.472182
-1.031773,14,45.930821
-1.06188,35,46.531038
-1.066941,32,47.123555
-1.141341,46,47.794879
-1.122187,51,48.501469
-1.122532,62,49.284954
-1.101471,39,49.913785
-1.066371,30,50.472255
-1.157279,37,51.086175
-1.041552,20,51.57772
-1.043641,33,52.19851
-1.032439,22,52.7652
-1.05117,22,53.319482
-1.050061,29,53.923584
-1.066464,31,54.562886
-1.081436,39,55.251865
-1.127716,65,56.176596
-1.103724,47,56.967902
-1.167367,80,58.021353
-1.082368,55,58.861436
-1.055833,29,59.465542
-1.093996,52,61.438148
-1.190654,77,62.518502
-1.088848,45,63.30732
-1.135384,112,64.621266
-1.109523,57,65.45513
-1.052907,22,66.027747
-1.098311,49,66.812201
-1.20337,108,68.088654
-1.028306,13,68.581183
-1.268548,81,69.583891
-1.019812,34,70.276816
-1.040571,20,70.88418
-0.604254,126,72.734055
-1.099147,51,73.676623
-1.04165,24,74.303242
-0.308186,155,76.423351
-1.068444,66,77.482537
-1.058183,28,78.18312
-1.10576,47,79.011932
-1.055628,24,79.662077
-1.054939,31,80.437531
-1.043446,27,81.254488
-1.143872,74,82.449698
-1.213526,58,83.363142
-1.036896,20,84.02227
-1.049618,29,84.768381
-1.075895,36,85.63727
-1.048091,23,86.328231
-1.05546,33,87.074372
-1.04609,29,87.764508
-1.144046,101,89.570766
-1.064227,43,90.360047
-1.028538,14,90.863577
-0.882453,68,91.771856
-1.100303,54,92.70134
-1.030407,18,93.295895
-1.043305,61,94.188132
-1.254403,87,95.366388
-1.139537,54,96.216732
-1.153685,72,97.204704
-1.090727,52,98.014787
-1.234181,123,99.461484
-1.155104,47,100.245868
-1.050866,33,100.892741
-1.527415,100,102.093735
-1.100316,51,102.903754
-1.049933,23,103.465211
-1.207458,113,104.766783
-1.025881,15,105.270865
-1.037558,20,105.787786
-1.056522,28,106.386649
-1.035784,24,106.942902
-1.039701,26,107.517633
-1.067372,48,108.287426
-1.037047,22,108.844721
-1.037401,22,109.39858
-1.103408,44,110.126442
-1.187767,54,110.979029
-1.050776,30,111.585421
-1.120416,43,112.313685
-1.043578,21,112.855218
-1.16475,84,113.886019
-1.11174,68,114.859357
-1.052566,42,115.597356
-1.109154,67,116.532144
-1.192306,78,117.542889
-1.104817,39,118.257171
-1.030523,24,118.8332
-1.097026,54,119.656205
-1.035552,55,120.505314
-1.030967,14,121.007419
-1.056103,27,121.577231
-1.087923,48,122.343714
-1.045091,20,122.875578
-1.025628,25,123.436406
-1.117764,42,124.156883
-1.099533,53,124.986442
-1.049545,23,125.559751
-1.323988,42,126.31062
-1.046976,22,126.883289
-1.225897,140,128.399949
-1.084874,28,129.002348
-1.022005,12,129.463578
-1.090426,48,131.294657
-1.103706,60,132.206751
-1.219908,65,133.118506
-1.06366,36,133.780559
-1.125208,59,134.648536
-1.148656,57,135.493832
-1.076983,43,136.218064
-1.069159,41,136.954836
-1.084875,63,137.827965
-1.294354,68,138.78103
-1.126275,54,139.600414
-1.070794,35,140.276147
-1.124802,72,141.234358
-1.050016,34,141.88362
-1.042984,25,142.462108
-1.030101,18,142.961236
-1.056763,29,143.54035
-1.059573,31,144.161223
-1.0695,37,144.842528
-1.037387,20,145.375238
-1.070707,35,146.023365
-1.108705,56,146.85535
-1.036904,18,147.371769
-1.12504,36,148.029152
-1.097685,51,148.817467
-1.043622,27,149.40137
-1.082193,50,150.180073
-1.229047,54,150.992563
-1.112839,46,151.739141
-1.035188,20,152.293245
-1.037672,22,152.85656
-1.111881,33,153.485492
-1.053537,32,154.109182
-1.035556,22,154.655348
-1.046306,35,155.301948
-1.058063,27,155.893017
-0.977397,66,156.794961
-1.131169,57,157.691423
-1.160338,67,158.681719
-1.03248,31,159.323493
-1.080688,43,160.044067
-1.0321,20,160.585721
-1.034078,24,161.133878
-1.063794,35,161.774338
-1.050052,28,162.375488
-1.076023,53,163.160229
-1.130345,62,164.020145
-1.10891,47,164.759032
-1.018491,12,165.213969
-1.137228,74,166.135771
-1.115819,80,167.151778
-1.082075,48,167.903536
-1.025266,15,168.403213
-1.082449,51,169.15364
-1.07388,42,169.851591
-1.283035,64,170.743838
-1.100526,40,171.435301
-1.313941,77,172.448138
-1.131515,56,173.273006
-1.049986,24,173.840441
-1.050516,28,174.43796
-1.212995,100,175.601803
-1.129606,73,176.60203
-1.061085,35,177.258979
-1.124243,46,177.996337
-1.102578,64,178.889451
-1.036515,23,179.447933
-1.047742,34,180.091552
-1.033907,17,180.605824
-1.181836,89,181.69671
-1.093293,47,182.479698
-1.253535,100,183.699347
-1.044239,22,184.270722
-1.119055,64,185.20089
-1.066535,34,185.866729
-1.061942,38,186.543571
-1.035804,18,187.048407
-1.090531,46,187.766133
-1.192632,106,189.023972
-1.027373,14,189.519847
-1.118387,60,190.371091
-1.119195,75,191.365971
-1.069686,32,192.020428
-1.042422,22,192.570918
-1.050054,29,193.154065
-1.043856,89,194.242684
-1.254777,77,195.254344
-1.712351,157,196.987081
-1.08063,32,198.701634
-1.080663,53,199.550958
-1.14182,43,200.2759
-1.098344,48,201.024635
-1.035931,18,201.532412
-1.144531,75,202.519885
-1.30969,108,203.773952
-1.074966,43,204.510393
-1.120859,95,205.658195
-1.040866,24,206.243009
-1.061336,33,206.872397
-1.096451,51,207.635294
-1.20708,80,208.670205
-1.107033,50,209.45243
