#{"t_start": 1639845113.0171168, "env_id": null}
r,l,t
1.735625,235,4.070265
14.710681,1001,17.903627
15.211429,865,26.741729
16.674799,1001,35.925277
15.041327,1001,48.175405
18.321762,960,60.540102
14.527621,1001,70.827599
17.747707,1001,81.108773
1.751838,227,84.389642
13.358338,666,91.767625
6.055569,544,99.680129
19.375859,1001,110.253114
15.863598,1001,119.49501
22.170614,1001,128.505429
20.979021,1001,139.489851
21.964009,1001,148.745676
25.294905,1001,159.214565
20.904779,1001,169.208634
12.111009,659,176.068572
2.5674,292,180.248999
2.178979,228,182.663534
22.449683,1001,192.085297
18.533915,1001,201.57086
20.66796,1001,211.347137
20.316376,1001,222.125163
27.707444,1001,231.424514
23.313823,1001,240.822394
23.177927,1001,251.54509
22.947521,1001,263.107406
24.667453,1001,273.432467
26.604474,1001,283.213675
26.557222,1001,292.564729
21.669816,1001,303.070756
25.538626,1001,312.888938
21.726635,1001,323.492056
24.391391,1001,333.24418
26.33044,1001,342.736845
28.647197,1001,353.87816
28.153499,1001,363.333396
26.753153,1001,373.470969
27.65247,1001,382.54502
27.640769,1001,392.971485
27.828387,1001,402.263371
28.914458,1001,411.492517
30.355096,1001,420.580799
26.017995,1001,430.830442
30.018549,1001,439.885694
30.313701,1001,448.792811
27.250671,1001,457.669175
28.090164,1001,467.760139
26.966272,1001,476.730369
28.602179,1001,485.663021
29.02632,1001,494.6389
29.842005,1001,504.71654
30.759067,1001,513.710971
29.529809,1001,522.739841
31.795282,1001,531.859696
30.665476,1001,542.640787
30.735521,1001,552.830884
29.992141,1001,561.759504
31.068394,1001,571.394792
31.416436,1001,583.661855
32.370731,1001,593.84874
31.830875,1001,603.514706
29.195873,1001,614.348804
30.601845,1001,625.552182
31.650441,1001,634.92233
33.440217,1001,644.262129
30.816941,1001,653.632304
31.478407,1001,663.611411
32.315907,1001,672.185123
30.914659,1001,680.744274
31.757147,1001,689.946331
31.87291,1001,701.65204
32.333704,1001,711.381317
31.674523,1001,721.211669
31.751314,1001,730.426233
32.24305,1001,740.959534
32.612591,1001,750.238196
32.411658,1001,759.533887
31.695613,1001,768.790147
32.252451,1001,778.480367
32.813365,1001,788.797529
31.291195,1001,798.143356
32.669541,1001,807.558868
32.837798,1001,816.827038
32.951701,1001,827.943232
22.776211,694,834.545006
32.478714,1001,844.260108
32.134659,1001,853.966288
32.954031,1001,864.326319
32.486178,1001,873.776952
32.733736,1001,882.853482
33.27866,1001,891.82738
32.925375,1001,903.095101
32.393191,1001,912.340052
32.273856,1001,921.702693
33.365572,1001,931.328184
32.906448,1001,942.357112
33.321119,1001,951.4423
32.994841,1001,961.568595
31.916931,1001,971.103127
19.54622,586,976.818861
33.18868,1001,988.670436
32.478977,1001,998.052179
33.070262,1001,1007.705998
32.934523,1001,1017.337604
27.975061,845,1027.234912
33.79816,1001,1037.212811
33.307176,1001,1046.817715
33.819249,1001,1056.347521
33.237546,1001,1067.21679
33.542402,1001,1076.227373
33.414646,1001,1086.672215
33.237011,1001,1096.296803
28.037265,838,1104.963699
33.158651,1001,1114.788415
32.721935,1001,1123.559011
33.248159,1001,1132.326037
33.520307,1001,1143.562134
