#{"t_start": 1639498761.9456189, "env_id": null}
r,l,t
-0.337205,1001,7.057197
-1.088184,20,7.515113
1.681276,545,11.460588
-0.802116,120,12.590869
0.867356,813,18.388579
2.294415,1001,25.440542
2.308266,1001,34.89665
-0.230494,142,36.368986
2.528096,724,42.639879
-1.035818,131,44.024782
4.757431,1001,52.478403
4.561447,1001,60.999755
1.448441,320,63.870691
6.988652,1001,73.416803
-0.171568,203,75.338732
-0.724638,682,81.13445
3.897937,1001,89.59943
-1.185488,68,90.457484
-0.486709,187,92.257178
0.112096,252,94.599478
-1.075661,72,95.512941
4.571182,1001,103.910871
1.200174,457,109.093396
1.98247,764,115.657622
2.090891,395,119.133599
3.175746,660,124.789498
1.491516,360,128.020558
6.00175,1001,136.43816
4.016411,1001,145.804928
1.819777,491,150.056106
1.709799,475,154.187292
0.999705,239,156.388045
-0.447689,116,157.626856
6.825139,1001,166.098136
4.487332,940,174.060752
6.7324,1001,183.50055
8.004233,1001,191.90544
8.416263,1001,200.307456
5.991309,1001,208.705232
6.113582,1001,218.215815
1.663347,487,222.409364
6.765155,1001,230.784941
9.080236,1001,239.269397
9.322535,1001,248.628702
1.076173,232,250.870069
9.053212,1001,259.3
10.524489,1001,267.769954
6.563703,646,273.305256
9.83244,1001,281.738868
11.201391,1001,291.176756
14.367317,1001,299.648356
12.60274,1001,308.434248
12.636204,1001,317.555494
9.703802,1001,327.026578
12.806844,1001,335.366776
7.58375,591,340.422452
14.506406,1001,348.895125
14.389861,1001,358.338208
5.326186,504,362.67711
9.712646,587,367.727248
12.601736,872,375.112681
1.732613,180,376.877417
-1.073371,22,377.401332
3.815696,237,379.658059
15.253279,1001,388.371138
16.278643,1001,398.730566
15.276287,1001,407.341906
3.648918,353,410.69958
15.78061,1001,419.527296
15.90491,1001,428.198723
6.55734,463,433.462136
17.859908,1001,442.064086
17.701435,1001,450.920334
18.191398,1001,459.617605
18.751185,1001,469.928109
18.085586,993,478.874141
22.041556,1001,487.495735
19.15025,1001,496.236193
2.688431,223,498.575964
16.653443,1001,508.780041
15.330917,752,515.494965
3.809149,210,517.566414
20.919125,1001,526.618806
4.95009,306,529.702092
21.276324,1001,539.034123
19.053237,1001,549.881474
21.906283,1001,559.610532
23.158578,1001,569.1293
26.351312,1001,579.026067
9.600218,454,583.651355
21.462963,1001,594.857346
1.020091,124,596.311086
25.257803,1001,606.273021
24.729887,1001,615.203993
15.646242,691,622.150875
21.345947,862,631.669338
28.559652,1001,640.322675
25.008186,1001,649.881744
2.011877,149,651.620267
29.337365,1001,661.604784
28.137518,1001,672.43091
25.93618,1001,681.983861
25.591872,1001,691.368744
29.0098,1001,700.922521
30.670837,1001,710.598601
