#{"t_start": 1639702244.99566, "env_id": null}
r,l,t
-1.038173,18,0.479969
-2.341513,368,3.25927
-1.046168,23,3.758142
-1.670871,186,5.342491
-1.037873,22,5.822714
-3.64812,734,11.098629
-3.970867,837,17.056277
-1.704308,475,20.846108
-1.252792,221,22.912362
-5.836531,986,31.102523
-3.576486,422,35.805124
-4.346609,769,42.168761
-1.123497,828,48.927166
-1.053639,24,49.451007
-2.019572,429,53.077295
-4.151489,1001,61.313648
-1.947267,397,64.702508
0.574373,1001,73.840859
-3.332337,1001,81.903249
-0.895141,1001,90.081161
-1.005097,1001,98.240914
-5.821637,678,104.829195
-1.216363,121,106.06188
-1.047529,25,106.586105
-1.330289,158,108.075613
-1.849321,378,111.340365
-2.543056,1001,119.599956
-1.827113,1001,127.693419
-3.617879,814,134.468048
-2.279424,1001,143.695064
-1.703961,207,145.620358
-1.000517,377,148.887144
-5.176287,1001,157.066899
1.961082,891,164.522642
-3.005691,1001,172.696761
-1.900919,356,176.753356
-2.920975,1001,184.879409
0.45727,1001,193.019529
-0.927833,1001,201.297617
-1.592572,1001,210.550872
-4.56127,1001,218.87595
0.480064,549,223.512393
1.025072,1001,231.797575
-3.574241,1001,240.125045
-2.667896,1001,249.32373
3.881592,1001,257.630666
1.119101,1001,265.933987
-0.66175,199,267.876845
-3.397699,1001,276.033717
-0.555469,1001,285.24445
-0.076768,496,289.491039
1.282713,461,293.505117
-1.052368,24,294.034702
-1.507665,133,295.390212
-0.884863,1001,303.602005
-1.407644,152,305.08933
-1.246617,130,306.398972
-0.84062,172,308.047465
-0.885214,1001,317.745018
-2.360122,661,323.438998
0.586598,781,329.917913
-1.949746,1001,338.001783
0.939292,751,344.170326
-0.814054,305,346.824728
0.78337,770,353.988977
-0.047336,428,357.597788
1.086571,607,362.648693
-1.727815,1001,370.727717
-0.625568,627,375.839528
-1.049505,25,376.365783
2.615136,987,384.307357
1.622351,843,392.016747
-1.978246,582,396.943212
3.076458,690,402.602701
2.785497,1001,410.658033
-2.59614,1001,418.715937
-0.963195,451,423.528538
2.62197,1001,431.481096
-0.409835,324,434.23883
-0.033844,414,437.746859
4.274272,1001,445.755778
0.3764,580,450.603581
3.705914,1001,459.633037
-1.555607,776,465.903845
-1.038967,20,466.400886
-0.245165,495,470.484799
-1.138164,114,471.669706
-0.082516,889,478.978406
6.016529,1001,487.009596
-2.293206,1001,496.044356
4.352139,846,502.903057
3.950906,962,510.651607
-1.051184,24,511.184613
2.870511,776,517.491838
0.001094,434,521.149242
3.862387,992,530.068607
-0.610407,717,535.897463
1.174,297,538.52316
-1.108349,126,539.808314
-0.365497,733,545.719437
1.616022,565,550.405684
-1.049182,23,550.917029
1.148206,617,555.976418
-0.413551,154,557.471578
4.089135,879,565.668898
1.397703,602,570.671469
3.611461,564,575.403219
3.497726,976,583.301393
2.479537,481,587.359069
2.821819,890,595.56987
1.383787,395,598.931833
0.447352,302,601.61988
0.241999,223,603.698286
0.57706,242,605.872499
4.027928,767,612.157619
6.044662,1001,620.335589
3.826123,1001,629.468768
2.226679,500,633.652811
2.181849,565,638.41697
0.308284,804,645.017729
3.770721,546,649.575888
3.363787,1001,657.885727
4.719701,1001,666.985517
