#{"t_start": 1641218361.5429556, "env_id": null}
r,l,t
-2.208529,50,2.119463
-6.35998,818,13.95718
-8.580956,976,30.703388
-5.763813,454,38.536261
-6.861465,472,46.986422
-5.781646,1001,63.468352
-4.314351,859,77.700755
-6.51005,1001,96.45487
-4.826194,1001,116.343976
-6.234024,1001,136.227317
-6.846716,1001,157.243833
-1.58558,1001,178.848453
-3.856961,1001,202.605738
-1.085696,422,210.653696
-8.327092,1001,231.32883
-5.534218,779,247.336974
-4.925318,312,253.54693
-3.867562,1001,273.727606
-3.653605,1001,293.979272
-4.363163,250,300.105848
-2.696222,1001,320.740299
-3.182155,349,328.032979
0.866854,1001,348.91276
0.315444,882,367.50867
0.082103,1001,388.659888
-1.420108,440,397.566974
-1.28634,288,404.206801
0.505962,1001,425.16518
0.323582,1001,446.293113
0.040322,690,461.617302
-0.468756,1001,483.01496
0.67097,1001,505.276384
3.700297,423,514.019707
4.200205,1001,535.56237
5.050675,1001,557.504
1.321608,1001,579.290777
5.274946,1001,601.102959
7.423594,1001,624.240588
-1.013186,145,627.770052
1.621773,325,635.787284
9.97265,1001,658.058028
5.684521,478,668.927205
3.210786,379,678.116895
2.042319,616,691.558347
3.325353,760,709.515333
3.760722,1001,732.531773
3.65154,1001,755.657532
3.113339,330,762.832166
6.812425,1001,786.719714
5.651426,483,798.783972
3.631207,393,808.098642
0.298265,364,816.068824
4.183501,552,830.183815
0.866245,300,837.495293
5.957906,451,849.930976
2.489118,274,856.757056
1.570538,562,869.785708
3.192821,336,878.623078
3.751538,365,887.130458
2.195739,571,901.678111
1.553895,338,909.288026
13.887633,658,926.464644
11.391496,1001,951.09762
1.785782,257,957.645576
12.76916,688,975.269711
6.759624,699,992.855224
7.609475,617,1008.696593
12.834898,644,1024.450688
4.968294,459,1037.094703
3.701126,311,1044.634977
4.039401,439,1055.92574
5.68248,629,1071.921708
3.85138,340,1081.406759
5.404752,420,1091.49224
20.500988,1001,1116.489484
