#{"t_start": 1641206236.4801495, "env_id": null}
r,l,t
-7.172869,1001,16.436356
-12.894421,964,32.716644
-4.162087,1001,52.321394
-4.196943,1001,70.912997
-4.749707,1001,87.679497
-5.918048,1001,112.746278
-5.194302,701,127.933296
-2.607736,1001,149.658578
-4.176379,1001,170.795699
-2.719973,1001,192.671549
-0.959273,1001,214.884585
-8.638977,974,235.438456
2.106268,1001,255.774122
0.864977,1001,276.873385
-1.25016,1001,298.621058
-1.601138,1001,320.3235
-6.114463,755,336.860882
-0.856643,1001,358.482584
2.22034,1001,381.217243
-0.483003,1001,404.234611
3.066553,1001,428.095415
-2.679595,545,440.576028
-2.316792,1001,463.605909
2.456299,1001,486.409619
2.063318,1001,509.285588
0.125971,1001,532.661843
-2.699607,709,549.70255
8.941852,1001,573.509907
8.017707,868,594.130422
2.137676,1001,618.223832
5.026383,1001,642.236826
4.488741,1001,665.997412
1.293718,252,673.889393
-0.217182,214,681.123286
4.959574,1001,707.686326
10.227762,1001,731.400152
5.272721,559,743.992848
11.557741,1001,766.693044
2.003224,1001,789.530512
-0.037702,275,796.604112
1.696401,610,810.281085
0.843213,181,814.295034
10.112264,927,836.179781
3.767112,1001,859.006935
6.955389,523,872.762163
2.669882,654,887.790986
10.799725,589,902.120964
0.143754,241,907.564985
6.055178,729,927.897977
9.101131,1001,952.079425
1.143296,214,958.316338
17.451419,1001,982.313803
10.543092,1001,1006.392653
3.270545,571,1021.545297
14.129582,806,1044.950142
3.273108,364,1058.573717
6.227239,835,1080.134611
4.747446,565,1096.063933
16.289456,1001,1124.262279
1.243928,223,1130.296479
16.92661,850,1152.169022
3.566787,344,1161.352317
18.713377,1001,1186.446147
17.037778,1001,1211.89354
19.005041,1001,1237.389912
1.263191,220,1243.715364
16.139016,819,1264.674355
19.298654,989,1290.250897
16.229069,1001,1316.718166
19.04695,1001,1342.697208
18.804681,1001,1369.243607
1.279913,187,1373.994625
3.220962,310,1383.22593
11.249908,507,1395.956475
19.828138,1001,1422.961183
20.79984,1001,1450.414844
20.774679,1001,1477.437952
20.299011,1001,1503.809909
20.925688,1001,1530.335389
20.791051,1001,1557.383898
10.5844,492,1571.1219
15.083502,704,1589.905982
20.81352,1001,1616.647413
2.20407,237,1622.475606
3.344872,293,1630.858495
12.947013,654,1647.376644
11.004324,489,1661.075169
20.780451,1001,1690.086581
13.246284,698,1708.951734
20.274181,1001,1735.558553
20.823782,1001,1762.320322
20.83098,1001,1789.57155
20.832295,1001,1817.438259
20.326782,1001,1844.758331
20.884732,1001,1872.382112
20.833833,1001,1900.099066
20.922067,1001,1927.769741
20.821732,1001,1955.788194
20.562076,1001,1983.713891
19.807794,1001,2012.028613
20.795467,1001,2040.201926
20.736781,1001,2068.593556
20.676667,1001,2097.0527
20.276078,1001,2125.494822
20.748147,1001,2154.055198
20.763418,1001,2182.928348
20.867646,1001,2211.966859
6.639544,463,2226.774999
20.895709,1001,2255.909484
3.020844,282,2264.047631
20.970449,1001,2293.577653
20.890395,1001,2322.712359
20.872716,1001,2351.92661
14.741382,674,2370.895638
20.913761,1001,2400.153108
20.843395,1001,2429.778925
20.891334,1001,2459.371177
20.878019,1001,2489.330552
