#{"t_start": 1639866599.008463, "env_id": null}
r,l,t
-2.597171,30,0.712726
-3.537111,83,1.657936
-2.464382,28,2.171314
-3.012831,55,2.864017
-3.659403,86,3.807064
-3.014389,57,4.510385
-3.694142,86,5.414959
-3.617525,90,6.41415
-3.306364,72,7.284933
-2.380585,21,7.774135
-2.405607,22,8.283392
-3.696588,85,9.203941
-3.387159,76,10.089216
-3.217249,68,10.933417
-2.534344,29,11.482383
-2.727593,38,12.114419
-2.308089,20,12.624135
-2.576885,30,13.278135
-2.749058,42,14.211829
-2.702231,38,14.937272
-2.50391,26,15.54452
-3.483261,72,16.478436
-2.470155,30,17.089399
-2.473032,25,17.64282
-4.429862,138,19.230451
-3.382806,69,20.34137
-2.992264,45,21.158379
-4.04476,141,22.923055
-2.867945,44,23.971447
-2.982745,49,24.921779
-3.281934,63,26.165262
-2.406332,20,26.8002
-3.54126,80,27.933613
-3.666297,82,29.120199
-3.265702,50,30.014641
-2.420721,21,30.568028
-3.080401,57,31.388707
-3.168644,55,32.188636
-3.937425,87,33.238
-3.013984,55,34.056965
-3.619848,86,35.132274
-3.582522,82,36.211123
-2.638827,31,36.81742
-3.403964,62,37.669762
-3.072912,52,38.442261
-3.66889,90,39.497746
-3.450012,87,40.56027
-2.605959,30,41.154357
-2.612748,35,41.766452
-3.257056,70,42.6541
-3.754401,82,43.685954
-2.44178,27,44.26203
-3.149161,57,45.081979
-2.827099,41,45.792679
-5.307178,170,47.53386
-2.349462,20,48.088446
-3.953544,105,49.222323
-3.101988,53,49.988233
-3.176945,56,50.817562
-2.629979,30,51.417922
-3.798629,77,52.32319
-4.390904,113,53.536965
-2.826193,53,54.312676
-3.361917,65,55.15159
-3.09708,58,55.947764
-3.659477,73,56.857382
-3.908164,106,57.996209
-2.8846,44,59.730231
-4.799897,135,61.186408
-2.750749,39,61.835159
-2.721056,38,62.457347
-2.933369,48,63.147479
-2.874343,47,63.834146
-2.386498,20,64.322824
-3.473177,68,65.175976
-3.33488,65,66.03343
-3.61876,90,67.116788
-3.38395,62,67.921685
-2.419162,21,68.474192
-3.19276,61,69.285498
-4.483697,132,70.682269
-3.090069,57,71.494044
-3.542773,76,72.398833
-2.395536,24,72.987803
-2.615523,34,73.642555
-3.946516,96,74.731499
-2.703174,36,75.35399
-3.240498,57,76.131824
-2.619367,32,76.718369
-2.738733,37,77.324961
-4.152199,111,78.507351
-2.288986,18,79.031402
-2.941838,58,79.817608
-3.342343,64,80.666044
-3.595723,91,81.731478
-3.416397,67,82.599808
-2.929076,45,83.325307
-2.759149,40,84.076917
-3.285742,61,84.959712
-3.43175,83,85.977125
-4.470556,131,87.456395
-3.236987,67,88.335601
-2.385766,18,88.855567
-2.48263,26,89.403844
-2.755393,40,90.060656
-4.336952,114,91.31166
-4.675814,128,92.673588
-2.323664,20,93.175493
-2.768711,48,93.859193
-5.964681,156,95.490185
-2.680594,32,96.141373
-3.418511,69,97.005072
-2.631666,39,97.643825
-4.077201,81,98.594955
-2.831029,42,99.25221
-2.331393,20,99.744186
-3.970792,106,101.051666
-2.568312,33,101.65494
-2.95473,49,102.359559
-3.486373,74,103.248457
-3.10366,60,104.038315
-2.593343,33,104.624562
-4.171502,113,106.055607
-2.921215,45,106.847425
-3.646565,85,107.972382
-2.539055,29,108.57723
-2.551395,27,109.185289
-3.117989,66,110.009505
-2.918185,49,110.716945
-3.177296,64,111.549679
-3.292598,62,112.432459
-3.237882,59,113.256559
-2.843331,44,114.004235
-2.737322,37,114.712475
-3.52847,78,115.762473
-2.749176,37,117.539382
-2.585098,36,118.18139
-2.930183,81,119.133575
-4.307466,113,120.495872
-2.9564,49,121.253389
-3.211387,60,122.122643
-3.169151,58,122.921775
-5.479183,185,124.9615
-3.122817,52,125.789216
-2.76207,44,126.507836
-2.814062,42,127.192114
-6.526811,202,129.18652
-3.276616,71,130.121229
-2.69997,36,130.812513
-2.842965,47,131.568522
-2.438517,21,132.087772
-2.942577,51,132.890807
-3.408512,66,133.790737
-5.147196,158,135.40055
-3.15502,59,136.262103
-4.06094,97,137.438648
-4.384794,125,138.818022
-3.129626,58,139.720036
-3.811783,108,140.997273
-2.951805,47,141.785972
-3.811491,106,142.995488
-3.564572,72,143.906151
-3.453166,71,144.807947
-2.671413,36,145.429871
-4.113872,118,146.728139
-2.817373,36,147.398632
-3.443812,73,148.339219
-2.826227,44,149.052209
-4.787956,150,150.566864
