#{"t_start": 1639860053.7980113, "env_id": null}
r,l,t
41.749543,1001,7.313939
41.872024,1001,14.331512
41.466261,1001,21.473961
41.234388,1001,28.631824
41.529464,1001,36.646678
41.479543,1001,43.84617
41.529894,1001,51.047062
41.89746,1001,58.296824
41.807949,1001,66.312253
41.75593,1001,73.576499
41.691141,1001,80.942895
41.431118,1001,88.514554
41.661236,1001,97.903927
41.513568,1001,106.176189
41.64134,1001,114.482822
41.274425,1001,122.59761
41.673178,1001,131.879455
41.391551,1001,140.113472
41.313378,1001,148.367656
41.454964,1001,156.656068
41.512855,1001,165.964218
41.723236,1001,174.212568
41.553759,1001,182.530992
41.692882,1001,190.828795
41.70484,1001,200.103914
41.540489,1001,208.395696
41.42177,1001,216.58906
41.558535,1001,224.754791
41.744499,1001,234.115226
41.811231,1001,242.475172
41.652845,1001,251.64945
41.714233,1001,259.988246
41.462942,1001,269.320359
41.816766,1001,277.60076
41.566642,1001,286.000514
41.946304,1001,294.35464
41.675511,1001,303.749812
41.823434,1001,312.560551
41.906222,1001,320.965779
41.912714,1001,329.369994
41.52673,1001,338.598079
41.830542,1001,347.161849
41.568032,1001,355.518416
41.857638,1001,363.728693
41.883755,1001,372.044788
41.681659,1001,381.406609
41.78717,1001,389.851743
42.125883,1001,398.148708
41.320298,1001,406.529315
41.793941,1001,416.102595
41.630058,1001,424.421366
41.446415,1001,432.782516
41.894675,1001,441.197509
41.274022,1001,450.587971
41.854799,1001,459.054739
41.407982,1001,467.540683
41.563569,1001,476.091988
41.725492,1001,485.617213
41.713056,1001,493.974884
41.787005,1001,502.519724
41.534364,1001,511.466169
41.801447,1001,520.935864
41.751501,1001,529.377776
41.632224,1001,537.833377
41.519813,1001,546.302361
41.314685,1001,555.754976
41.934319,1001,564.240244
41.640253,1001,572.727179
41.792957,1001,581.23329
41.769718,1001,590.743023
41.728505,1001,599.309574
41.639686,1001,607.939909
41.486897,1001,616.543957
41.883472,1001,626.112175
41.721406,1001,634.596267
41.824069,1001,643.064929
41.505779,1001,651.748601
41.853061,1001,661.459949
42.028015,1001,670.056494
41.566225,1001,678.614032
41.718388,1001,687.125719
41.555874,1001,696.613986
41.871547,1001,705.21875
41.577016,1001,713.75077
42.13042,1001,722.332175
41.968951,1001,731.991796
41.897025,1001,740.526128
41.773756,1001,749.177295
41.535953,1001,757.797647
41.742967,1001,766.699763
41.856419,1001,776.82681
41.56087,1001,785.618484
41.842407,1001,794.314529
42.057812,1001,803.119917
42.137792,1001,812.9699
41.999829,1001,821.68028
41.731784,1001,830.489984
42.0666,1001,839.294019
41.745092,1001,849.114086
41.625453,1001,857.868035
41.514467,1001,866.627515
41.913591,1001,875.396528
41.417542,1001,885.266944
41.24552,1001,894.053262
41.564333,1001,902.892028
41.989524,1001,911.798773
41.853212,1001,921.596692
41.894221,1001,930.498632
41.81739,1001,939.412721
41.573881,1001,948.247064
41.818425,1001,958.105833
41.660616,1001,967.013656
41.982359,1001,975.858478
41.945849,1001,984.704604
42.009311,1001,994.60093
42.05534,1001,1003.410123
42.044189,1001,1012.288472
41.88082,1001,1021.229338
41.706437,1001,1031.158351
41.878701,1001,1040.363898
41.911771,1001,1049.485958
41.894683,1001,1058.433563
41.951179,1001,1068.466965
41.703758,1001,1077.376688
41.889023,1001,1086.375425
42.035777,1001,1095.343042
41.666261,1001,1105.37578
41.779725,1001,1114.405007
42.095177,1001,1123.306473
42.113085,1001,1132.218638
41.965148,1001,1142.286528
41.888293,1001,1151.246719
41.581234,1001,1160.206169
41.850691,1001,1169.231724
41.956882,1001,1178.26882
42.06087,1001,1188.208605
41.947653,1001,1197.255043
42.029322,1001,1206.279831
41.813041,1001,1215.282011
41.693166,1001,1225.350154
41.971956,1001,1234.385097
42.008312,1001,1243.407393
41.850468,1001,1252.415566
42.034593,1001,1262.569384
41.608812,1001,1271.625762
41.811707,1001,1280.740448
42.018837,1001,1289.81255
42.134791,1001,1299.975421
41.740217,1001,1309.018
42.23206,1001,1318.724316
41.928312,1001,1328.319296
41.616765,1001,1338.464121
42.051034,1001,1347.553309
41.848078,1001,1356.751204
42.175731,1001,1365.87781
42.042474,1001,1376.069283
41.927868,1001,1385.372889
42.13856,1001,1394.58516
42.116801,1001,1403.89227
41.668283,1001,1414.127971
42.245163,1001,1423.420261
42.06956,1001,1432.614649
42.217721,1001,1441.809312
42.043739,1001,1452.277958
41.988061,1001,1461.437444
41.989379,1001,1470.706793
42.124004,1001,1480.172052
42.011663,1001,1490.560481
42.061726,1001,1499.964638
41.999117,1001,1509.267892
42.254947,1001,1518.605735
42.191528,1001,1529.00609
42.07252,1001,1538.117726
42.07439,1001,1547.299809
42.222123,1001,1556.647211
42.154258,1001,1566.822145
42.193303,1001,1575.943366
41.890777,1001,1585.102343
41.98812,1001,1594.33439
41.952914,1001,1604.066939
42.126491,1001,1614.206624
42.247453,1001,1623.513931
41.802874,1001,1633.068986
41.993335,1001,1642.417512
42.178179,1001,1652.686092
41.703287,1001,1661.996493
41.961241,1001,1671.219407
