#{"t_start": 1639775993.465919, "env_id": null}
r,l,t
4.832976,1001,8.711729
2.844809,902,16.618965
-0.939707,885,27.270833
3.365737,1001,36.47747
1.638363,742,44.772064
4.221338,1001,54.213242
-0.162877,203,56.270133
2.706152,1001,65.678474
0.843555,783,73.037119
0.277318,185,74.89008
-0.564429,203,76.930812
3.609823,1001,87.027643
3.842273,1001,96.257692
0.092961,362,99.73589
-1.090072,23,100.341123
1.08157,579,105.945732
5.203013,1001,115.435356
0.108962,249,117.934746
6.770175,1001,128.124881
2.032767,1001,137.182991
1.240786,862,145.060848
6.65407,1001,154.219118
6.620083,1001,164.393534
4.156551,930,172.790929
5.976237,1001,181.976025
0.341368,186,183.846998
4.429917,1001,192.88685
0.514383,394,197.704385
5.252859,1001,206.943897
9.172018,1001,218.229734
0.712376,446,223.895867
-0.479966,115,226.125103
4.311056,637,232.336255
7.363978,1001,242.382468
9.270296,1001,251.309408
2.145948,319,254.371201
6.349822,1001,263.425029
10.642549,1001,272.050109
5.66295,735,279.31573
6.621165,1001,287.853822
11.173738,1001,296.291837
8.274556,1001,304.684972
10.873714,930,312.465719
9.045546,1001,321.792003
5.319058,532,326.343782
4.867412,643,331.820613
6.171917,498,336.044748
6.037658,671,341.566884
13.426697,1001,350.667678
-0.932105,118,351.888474
7.613295,1001,360.032447
14.226043,1001,368.188268
17.178241,1001,376.29433
13.958741,1001,385.376095
5.688754,473,389.361755
11.205107,1001,397.482807
2.767261,327,400.322221
7.397729,532,404.835779
3.351515,389,408.171977
7.840864,546,412.767708
10.698219,690,419.440867
14.305065,1001,427.614209
5.343995,428,431.22592
16.250552,1001,439.397
10.389729,923,446.936176
8.823507,663,452.397076
8.237882,559,458.061222
17.721414,1001,466.191876
10.072369,600,471.16399
9.664358,746,477.303871
16.756837,1001,485.417924
3.308137,264,488.733749
11.29829,889,495.988939
12.152575,782,502.39869
8.761042,544,506.956081
20.830025,1001,515.084549
2.588057,285,517.640457
18.870024,1001,526.827999
14.888606,941,534.471707
1.558223,117,535.684199
6.743045,424,539.290932
8.719396,515,543.645303
23.389583,1001,551.847318
6.545602,438,555.625587
23.288093,1001,564.796727
6.095808,337,567.876027
13.487917,609,573.200539
12.390505,573,578.19635
23.570674,1001,586.270218
14.400909,660,591.750885
23.426209,1001,600.789554
20.583729,896,608.03189
23.132961,872,615.097092
12.31114,608,620.109399
15.663326,745,626.227217
24.328256,1001,635.2579
23.604246,1001,643.399055
23.652382,1001,651.475679
24.583169,1001,659.550446
24.843047,1001,668.665663
20.572334,849,675.558733
28.015155,1001,683.899249
26.175326,1001,692.128161
25.340551,1001,701.146488
25.757383,984,709.112354
27.09494,1001,717.212223
24.926627,1001,725.273524
27.555902,1001,734.326585
28.96156,1001,742.426806
21.964736,843,749.28002
28.300499,1001,757.388426
27.388345,1001,766.453282
