#{"t_start": 1639844041.618553, "env_id": null}
r,l,t
-2.03704,21,0.693451
-2.052833,30,1.374328
-1.991126,63,2.15214
-2.1021,49,2.817384
-2.157905,74,3.736622
-2.080319,36,4.308623
-2.076566,73,5.141179
-2.679401,91,6.080494
-2.169753,65,6.823653
-2.111497,41,7.407694
-2.115273,64,8.153811
-2.082715,38,8.732331
-2.312868,76,9.567388
-2.419792,98,10.621222
-2.178082,118,11.736787
-2.045347,23,12.231044
-2.010402,50,12.902542
-2.234443,78,13.831648
-2.33033,116,15.450781
-2.071305,37,16.143876
-2.115419,42,16.775982
-3.063239,125,17.957683
-2.063719,31,18.494059
-2.039694,22,18.974844
-2.088674,72,19.816144
-2.108869,56,20.538124
-2.119059,58,21.275105
-2.101507,38,21.963725
-2.035842,25,22.485025
-2.151061,98,23.496282
-2.055951,27,24.011254
-2.143164,84,24.932034
-2.037778,24,25.427922
-1.679119,120,26.586789
-2.050523,28,27.123341
-2.613583,143,28.422637
-2.063312,46,29.085639
-2.120335,63,29.830152
-2.250715,130,31.036143
-2.992807,120,32.185386
-2.292018,79,33.117795
-2.038443,23,33.676291
-2.076333,50,34.462839
-2.060741,33,35.112554
-2.091116,63,35.922024
-2.238544,97,36.992383
-2.117943,89,38.006635
-2.077661,38,38.656053
-2.117653,47,39.357496
-2.235824,115,40.574238
-1.991958,48,41.288457
-2.056421,29,41.845644
-2.085903,44,42.494957
-2.133017,72,43.36469
-2.124822,66,44.19943
-2.405519,130,45.536048
-2.147746,100,46.674917
-2.037708,20,47.192025
-2.088457,59,47.961349
-2.078157,35,48.555306
-2.105563,53,49.2716
-2.41075,143,50.685973
-2.222253,107,52.911222
-2.078698,34,53.544528
-2.128779,70,54.470221
-2.111862,71,55.423452
-2.086325,36,56.107975
-2.242737,94,57.289174
-2.081272,52,58.214793
-2.075363,45,58.991755
-2.210706,107,60.425412
-2.129231,83,61.605747
-2.093931,53,62.674778
-2.040938,33,63.465471
-2.446363,134,65.245968
-3.18582,323,68.810222
-2.106188,57,69.643197
-2.098444,56,70.554958
-2.028801,18,71.161847
-2.16612,60,72.279387
-2.245557,48,73.267802
-2.190894,115,75.190906
-2.018666,102,76.823858
-1.968916,77,78.119568
-2.12272,51,79.084718
-2.059493,34,79.87641
-2.031954,17,80.467294
-2.045815,30,81.322274
-1.972573,57,82.425205
-2.068207,41,83.191961
-2.033384,39,84.000811
-2.041532,41,84.884152
-2.436788,95,86.415981
-2.084884,44,87.367976
-2.028077,67,88.430975
-2.070973,35,89.140051
-2.056591,30,89.781348
-2.186222,53,90.653067
-2.284802,101,91.985477
-2.034992,23,92.63232
-2.081095,42,93.436936
-2.054463,21,94.062263
-2.10957,61,95.066305
-2.070561,37,95.862118
-2.054251,28,96.528673
-2.188335,101,97.994131
-2.147431,82,99.543808
-2.121828,46,101.084858
-2.055842,26,101.860001
-2.076943,39,102.69463
-2.255738,93,104.486888
-2.132376,55,105.572628
-2.085701,36,106.537239
-2.028298,19,107.212684
-2.0735,46,108.253437
-2.108006,42,109.289449
-2.060129,31,110.111133
-1.732872,75,111.476836
-2.427248,152,113.925742
-2.048439,28,114.747778
-2.043179,30,115.574792
-2.063284,43,116.540104
-2.152748,72,117.810987
-2.140309,70,119.077693
-2.110157,52,120.188468
-2.033968,20,121.031618
-2.096456,49,122.197081
-2.037774,20,122.967809
-2.066452,36,123.942715
-2.130283,63,125.218582
-2.138369,72,126.658972
-2.122361,77,129.726722
-2.486249,97,131.384332
-2.274532,138,133.330243
-2.100757,65,134.460821
-2.043296,33,135.307179
-2.114539,63,136.422454
-2.137436,48,137.285884
-2.236578,119,138.917286
-2.06849,81,140.07597
-2.25227,86,141.133488
-2.135578,62,142.039828
-2.145964,63,142.947486
-2.171734,93,144.370051
-2.104274,72,145.464545
-2.28737,121,147.050349
-2.280262,84,148.213028
-2.309098,78,149.392861
-2.735948,141,151.188718
-2.085361,50,152.077723
-2.078999,93,153.369613
-2.038445,19,153.96936
-2.04546,28,154.65033
-2.082565,37,155.452803
-2.085131,189,157.640023
-2.014548,51,158.521925
-2.039594,23,159.144431
-2.16458,97,160.527631
-2.128774,72,161.581656
-2.026092,45,162.476397
-2.073522,37,163.194196
-2.036752,21,163.776259
-2.20155,46,164.549963
-2.06722,51,165.413371
-2.068707,64,166.384321
-2.334306,71,167.732777
-2.351784,104,169.224058
-2.109152,40,170.104903
-2.137111,76,171.3268
-1.98789,44,172.266829
-2.132982,50,173.345801
-2.058407,36,174.266105
-2.077412,98,175.812332
-2.077768,50,176.804837
-2.0791,35,177.646918
-2.054112,31,178.439796
-2.606725,57,179.572571
-2.235092,193,181.966175
-2.117329,92,183.4534
-4.286693,168,185.953276
-2.088866,43,186.942836
-2.084153,60,188.087906
-1.947485,73,189.428782
-2.044171,22,190.144645
-2.093754,49,191.074449
-2.141652,66,192.208801
-2.083854,42,193.091747
-2.040701,66,194.132355
-2.138199,84,195.328681
-2.060905,84,197.752071
-2.388335,103,199.168202
-2.239991,76,200.269669
-2.042113,64,201.261752
-2.196439,98,202.508212
-2.281345,153,204.441854
-2.052625,35,205.246543
-2.110626,62,206.256381
-2.029615,15,206.792511
-2.128911,74,207.837271
-2.140637,157,209.681752
-2.133122,60,210.628469
-2.23231,100,211.9493
-2.097069,57,212.867121
-2.33063,106,214.22663
-2.163868,99,215.518836
-2.040038,20,216.119856
-2.121502,53,216.993182
-2.057928,25,217.661209
-2.093233,37,218.410427
-2.298395,80,219.551492
-1.998107,61,220.503156
-2.051507,27,221.150022
-2.254211,150,222.997576
-2.075477,53,223.911081
-2.149206,83,225.092559
-2.027533,19,225.680715
-2.100917,69,226.682879
-2.118495,130,228.313849
-1.968956,93,229.497267
-2.076166,44,230.251891
-2.092603,46,230.984317
-2.103173,73,231.999989
-2.078779,67,233.106699
-2.121881,52,233.962661
-2.068546,47,234.831289
-2.102281,63,235.809033
-2.12857,171,237.799914
-2.042726,24,238.489312
-2.167655,54,239.339226
-2.06174,49,240.187621
-2.209293,84,241.357938
-2.065029,93,242.63182
-2.084029,113,244.098943
-2.120393,59,245.057445
-2.102818,57,245.96313
-2.115855,48,246.802138
-2.391039,144,248.586168
-2.244206,65,249.605532
-2.136463,86,250.824993
-2.511783,140,252.543362
-2.0376,25,253.216038
-2.219567,110,254.638661
-2.06276,29,255.339939
-1.799874,56,256.247708
-2.04045,24,256.890975
-2.326537,75,258.019702
-2.071234,57,260.238702
-2.06941,37,261.011258
-3.33996,115,262.610516
-2.153975,71,263.746797
-2.208499,82,264.874656
-2.898851,132,266.452993
-2.160918,67,267.575953
-2.0591,35,268.302045
-1.93993,68,269.43091
-3.059497,187,271.647925
-2.276856,104,273.071637
-2.011792,66,274.058164
-2.183325,99,275.309665
-1.860464,320,278.813245
-2.524881,99,280.155095
-2.045163,21,280.767553
-2.109448,68,281.770781
-2.146207,90,283.039847
-2.138904,76,284.139428
-2.135979,67,285.149259
-2.116028,62,286.133537
-2.119618,44,286.928609
-2.089748,62,287.882399
-2.131076,102,289.268558
-2.342498,243,291.872824
-2.105453,67,292.906848
-2.162414,63,294.147216
-2.208376,150,296.055828
-2.305752,177,298.276696
-2.915884,319,301.729408
-2.106403,73,302.837241
-2.067417,50,303.706312
-2.149193,76,304.779011
-2.148492,58,305.682971
-2.061147,39,306.43811
-2.103862,48,307.372857
-2.161997,79,308.522829
-2.075655,86,309.664748
-1.856756,70,310.683852
-2.027824,117,312.161214
-2.166835,99,313.45972
-2.084104,44,314.275848
-2.162796,62,315.246804
-2.054415,57,317.361289
-2.061774,75,318.49815
-2.152512,201,320.773173
-1.996287,38,321.514008
-2.376441,198,323.775442
-2.138329,64,324.756219
-2.036945,24,325.371678
-2.125135,55,326.257139
-2.03415,63,327.21588
-2.197954,57,328.249665
-2.677693,243,331.054061
-2.001599,165,333.030245
-2.112561,52,333.915996
-2.258299,97,335.347955
-1.966694,98,336.683654
-2.143339,68,337.71455
-2.137944,107,339.118311
-2.257017,93,340.400077
-1.988559,70,341.457843
-2.258093,107,343.023468
-2.08506,44,343.909866
-2.027882,37,344.665806
-2.027233,180,346.811023
-1.955302,149,348.630762
-2.114514,45,349.468109
-2.702795,157,351.34772
-2.28356,73,352.418406
-2.329188,96,353.725728
-2.087311,72,354.843763
-2.177068,118,356.60258
